original	analyzed	corrected
Nirodhasaccaṁ nevācayagāmināpacayagāmi.	nirodha saccam na iva ācaya gāmi na apacaya gāmi 	nirodha saccam neva ācaya gāmi na apacaya gāmi
“uppannan”tipi, “anuppannan”tipi, “uppādī”tipi.	uppannam iti anuppannam ipi uppādi iti 	uppannam iti pi anuppannam iti pi uppādi iti pi
“hetu ceva sahetukañcā”tipi, “sahetukañceva na ca hetū”tipi.	hetu ca iva sa hetukam ca atipi sa hetukam ca iva na ca hetu utipi 	hetu ca eva sa hetukam ca iti api sa hetukam ca eva na ca hetu iti api
Maggasaccaṁ siyā na hetusahetukaṁ, siyā na vattabbaṁ—“na hetusahetukan”tipi, “na hetuahetukan”tipi.	magga saccam siyā na hetu sahetuka siyā na hetu ahetuka tipi 	magga saccam siyā na hetu sahetukam siyā na vattabbam na hetu sahetukan tipi na hetu ahetukan tipi
Samudayasaccaṁ āsavo ceva sāsavañca.	samudaya saccam āsavaḥ ca iva sa āsavam ca 	samudaya saccam āsavo ca eva sa āsavam ca
no ca saṁyojanaṁ, siyā na vattabbaṁ—“saṁyojanañceva saṁyojanasampayuttañcā”tipi,	no ca siyā na vattabba sayojanam ca iva sayojana sampayuttam ca atipi 	no ca saṁyojanaṁ siyā na vattabbaṁ saṁyojanaṁ ca eva saṁyojana sampayuttaṁ ca atipi
“saṁyojanasampayuttañceva no ca saṁyojanan”tipi.	sayojana sampayuttam ca iva no ca 	saṁyojana sampayuttañ ceva no ca saṁyojanan ti pi
Samudayasaccaṁ gantho ceva ganthaniyañca.	samudaya saccam ca iva ganthaniyam ca 	samudaya saccam gantho ca eva ganthaniyam ca
Dukkhasaccaṁ siyā nīvaraṇaṁ, siyā no nīvaraṇaṁ.	dukkha saccam siyā no nīvaraṇa 	dukkha saccam siyā nīvaraṇam siyā no nīvaraṇam
“parāmāsā ceva parāmaṭṭhā cā”tipi, “parāmaṭṭhā ceva no ca parāmāsā”tipi.	parāmāsā ca iva parāmaṭṭhā ca atipi parāmaṭṭhā ca iva no ca 	parāmāsā ca eva parāmaṭṭhā ca iti api parāmaṭṭhā ca eva no ca parāmāsā iti api
Dukkhasaccaṁ siyā cittasaṁsaṭṭhasamuṭṭhānasahabhū, siyā no cittasaṁsaṭṭhasamuṭṭhānasahabhū.	dukkha saccam siyā siyā no citta sasaṭṭha samuṭṭhāna sahabhū 	dukkha saccam siyā citta saṁsaṭṭha samuṭṭhāna sahabhū siyā no citta saṁsaṭṭha samuṭṭhāna sahabhū
“kilesā ceva saṅkilesikā cā”tipi, “saṅkilesikā ceva no ca kilesā”tipi.	kilesā ca iva saṅkilesikā ca atipi saṅkilesikā ca iva no ca 	kilesā ca eva saṅkilesikā ca iti pi saṅkilesikā ca eva no ca kilesā iti pi
