original	analyzed	corrected
“iṅgha me tvaṁ, ānanda, pānīyaṁ āhara, pipāsitosmi, ānanda, pivissāmī”ti.	me tvam ānanda pānīyam āhara pipāsitaḥ asmi ānanda pivissāmi iti 	iṅgha me tvam ānanda pānīyam āhara pipāsitaḥ asmi ānanda pivissāmi iti
“iṅgha me tvaṁ, ānanda, pānīyaṁ āhara, pipāsitosmi, ānanda, pivissāmī”ti.	me tvam ānanda pānīyam āhara pipāsitaḥ asmi ānanda pivissāmi iti 	iṅgha me tvam ānanda pānīyam āhara pipāsitaḥ asmi ānanda pivissāmi iti
“iṅgha me tvaṁ, bhaṇe, siṅgīvaṇṇaṁ yugamaṭṭhaṁ dhāraṇīyaṁ āharā”ti.	me bhaṇe siṅgī vaṇṇam yuga maṭṭham dhāraṇīyam āharāti 	iṅgha me tvaṁ bhaṇe siṅgī vaṇṇam yuga maṭṭham dhāraṇīyam āharāti
‘aniccā saṅkhārā, taṁ kutettha labbhā’”ti.	aniccā saṅkhārā tam kuta ittha 	aniccā saṅkhārā taṁ kutettha labbhā ti
Tatra ce rājā cakkavattī bhāsati, bhāsitenapi sā attamanā hoti.	tatra ce rājā cakkavattī bhāsati sā atta manāḥ 	tatra ce rājā cakkavattī bhāsati bhāsitena api sā atta manā hoti
Tatra ce rājā cakkavattī bhāsati, bhāsitenapi sā attamanā hoti.	tatra ce rājā cakkavattī bhāsati sā atta manāḥ 	tatra ce rājā cakkavattī bhāsati bhāsitena api sā atta manā hoti
Santi, bhante, aññāni mahānagarāni, seyyathidaṁ—	santi bhante aññāni mahā nagarāni 	santi bhante aññāni mahā nagarāni seyyathidaṁ
nacirasseva—yassatthāya kulaputtā sammadeva agārasmā anagāriyaṁ pabbajanti—tadanuttaraṁ	kula puttā sammat eva agārasmai anagāriyam pabbajanti tat anuttara 	nacirasseva yassa atthāya kula puttā sammat eva agārasmai anagāriyam pabbajanti tat anuttaram
“Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā”ti abbhaññāsi.	vusitam brahmacariya katam karaṇīya na aparam itthattāya ati 	Khīṇā jāti vusitam brahmacariyam katam karaṇīyam na aparam itthattāya ti abbhaññāsi
‘atītasatthukaṁ pāvacanaṁ, natthi no satthā’ti.	atīta satthukam natthi no satthā ati 	atīta satthukam pāvacanam natthi no satthā ati
Atha kho bhagavā saññāvedayitanirodhasamāpattiyā vuṭṭhahitvā nevasaññānāsaññāyatanaṁ	atha kho bhagavā saññā vedayita nirodha samāpattiyā vuṭṭhahitvā 	atha kho bhagavā saññā vedayita nirodha samāpattiyā vuṭṭhahitvā neva saññā nāsaññāyatanaṁ
“aniccā saṅkhārā, taṁ kutettha labbhā”ti.	aniccā saṅkhārā tam kuta ittha 	aniccā saṅkhārā taṁ kutettha labbhā ti
‘aniccā saṅkhārā, taṁ kutettha labbhā’”ti.	aniccā saṅkhārā tam kuta ittha 	aniccā saṅkhārā taṁ kutettha labbhā ti
“aniccā saṅkhārā, taṁ kutettha labbhā”ti.	aniccā saṅkhārā tam kuta ittha 	aniccā saṅkhārā taṁ kutettha labbhā ti
Tesañca pañcannaṁ dussayugasatānaṁ dveva dussāni na ḍayhiṁsu yañca sabbaabbhantarimaṁ yañca bāhiraṁ.	tesam ca pañcannam dussa yuga satānam dve iva dussāni na yat ca yat ca 	tesam ca pañcannam dussa yuga satānam dve eva dussāni na dayhimsu yat ca sabba abbhantarimam yat ca bahiram
Vesālikāpi licchavī vesāliyaṁ bhagavato sarīrānaṁ thūpañca mahañca akaṁsu.	vesālikā api licchavī vesāliyam bhagavato 	vesālikā api licchavī vesāliyam bhagavato sarīrānam thūpañ ca mahañ ca akamsu
Kapilavatthuvāsīpi sakyā kapilavatthusmiṁ bhagavato sarīrānaṁ thūpañca mahañca akaṁsu.	sakyā kapilavatthusmin bhagavato sarīrānam 	Kapilavatthuvāsīpi sakyā kapilavatthusmin bhagavato sarīrānam thūpañca mahañca akaṁsu
Allakappakāpi bulayo allakappe bhagavato sarīrānaṁ thūpañca mahañca akaṁsu.	bulayaḥ allakappe bhagavato sarīrānam thūpam maham ca 	Allakappakā pi bulayaḥ allakappe bhagavato sarīrānam thūpam ca maham ca akamsu
Rāmagāmakāpi koḷiyā rāmagāme bhagavato sarīrānaṁ thūpañca mahañca akaṁsu.	koḷiyā rāmagāme bhagavato sarīrānam 	Rāmagāmakāpi koḷiyā rāmagāme bhagavato sarīrānaṁ thūpañca mahañca akaṁsu
Pippalivaniyāpi moriyā pippalivane aṅgārānaṁ thūpañca mahañca akaṁsu.	pippalivaniyā api moriyā pippalivane thūpam ca 	pippalivaniyā api moriyā pippalivane aṅgārānaṁ thūpam ca maham ca akaṁsu
