original	analyzed	corrected
Sunando nāma rājindo ānandajanano sataṃ;	sunandaḥ nāma rājindaḥ ānanda jananaḥ 	sunando nāma rājindo ānanda janano sataṃ
Vassāratte yathā cando mohakkhandhena āvaṭo;	yathā candaḥ moha kkhandhena āvaṭaḥ 	Vassāratte yathā candaḥ moha kkhandhena āvaṭaḥ
Pūjentā munirājassa dāṭhādhātuṃ kudācanaṃ;	pūjentā muni rājassa kudācanam 	pūjentā muni rājassa dāṭhā dhātuṃ kudācanam
Tuyhaṃ sāmantabhupālo guhasīvo panādhunā;	tuyham sāmanta bhupālaḥ guhasīvaḥ 	tuyham sāmanta bhupālaḥ guhasīvaḥ pana adhunā
Sutvāna vacanaṃ tesaṃ rājā kodhavasānugo;	sutvāna vacanam rājā kodha vasa anugaḥ 	sutvāna vacanam tesam rājā kodha vasa anugaḥ
Pūjitaṃ taṃ chavaṭṭhiñca tena rattindivaṃ iti.	pūjitam tam tena rattindivam iti 	pūjitam tam chavaṭṭhiñca tena rattindivam iti
Dantapurassāvidūre khandhāvāraṃ nivesayi.	danta purassa avidūre khandhāvāram 	danta purassa avidūre khandhāvāraṃ nivesayi
Dānasālāhi so rājā samiddhaṃ puramaddasa.	saḥ rājā samiddham puram addasa 	Dāna sālāhi saḥ rājā samiddham puram addasa
Tato kaliṅganātho so vivaritvā karaṇḍakaṃ;	tatas kaliṅga nātho saḥ karaṇḍakam 	tato kaliṅga nātho so vivaritvā karaṇḍakam
Tathānekesu ṭhānesu munirāja tayāpuna;	tathā anekesu ṭhānesu muni rāja 	tathā anekesu ṭhānesu muni rāja tayā puna
Kaliṅghanātho kusumādikehi naccehi gītehi ca vāditehi;	kusuma ādikehi naccehi gītehi ca vāditehi 	Kaliṅgha nātho kusuma ādikehi naccehi gītehi ca vāditehi
Vītaccikaṅgāraka rāsi puṇṇaṃ aṅgārakāsuṃ abhisaṅkhariṃsu.	rāsi puṇṇam aṅgāraka asum abhisaṅkhariṃsu 	Vītaccikaṅgāraka rāsi puṇṇam aṅgāraka āsum abhisaṅkhariṃsu
Samantato uggatareṇujāla muṭṭhāsi kiñjakkha bharābhirāmaṃ.	samantataḥ uggata reṇu jāla kiñjakkha bhara abhirāmam 	samantato uggata reṇu jāla muṭṭhāsi kiñjakkha bhara abhirāmam
Disvānubhāvaṃ jinadantadhātu yāpajji so vimbhaya maggarājā;	disvā anubhāvam jina danta dhātu yā apajji saḥ magga rājā 	disvā anubhāvam jina danta dhātu yā apajji so vimbhaya magga rājā
Tassekadeso’ca idaṃ chavaṭṭhinoce’nubhāvokathamīdisoti.	tassa ika desaḥ caḥ idam cha va ṭṭhinaḥ ca inu bhāvaḥ katham īdisaḥ iti 	tassa eka deso ca idam cha va aṭṭhino ce anu bhāvo katham īdiso iti
Nimuggamettā’dhikaraññametaṃsampassato mebahinīharitvā.	nimuggam ettā adhikaraññam etam sampassataḥ 	nimuggam ettā adhikaraññam etam sampassato me bahi nīharitvā
Anvesamāno vasudhādhinātho bheriṃ carāpesi sake puramhi.	anvesamānaḥ vasudhā adhināthaḥ bherim sake puramhi 	anvesamāno vasudhā adhinātho bheriṃ carāpesi sake puramhi
Laddhāna so issariyaṃ mahantaṃ raññosakāsāsukhamessatīti	laddhāna saḥ issariyam mahantam 	laddhāna so issariyam mahantam raññosakāsā sukham essatīti
Tasmiṃ pure seṭṭhisuto subhaddo pāvekkhirañño samitiṃ pagabbho.	tasmim pure seṭṭhi sutaḥ subhaddaḥ samitim pagabbhaḥ 	tasmim pure seṭṭhi suto subhaddo pāvekkhirañño samitim pagabbho
Tamaggarājaṃ atha so namitvā sāmājikānaṃ hadayaṅgamāya;	tam agga rājam atha saḥ namitvā hadayaṅgamāya 	tam agga rājam atha so namitvā sāmājikānaṃ hadayaṅgamāya
Bhāsāya sabbaññuguṇappabhāvaṃ vaṇṇesi sārajjavimutta citto.	bhāsāya sabbaññu guṇa ppabhāvam vaṇṇesi citto 	bhāsāya sabbaññu guṇa ppabhāvam vaṇṇesi sārajja vimutta citto
Saso’pi hutvāna visuddhasīlo ajjhattadānābhirato dvijāya;	hutvāna visuddha sīlaḥ ajjhatta dāna abhirataḥ dvijāya 	Saso'pi hutvāna visuddha sīlaḥ ajjhatta dāna abhirataḥ dvijāya
Yo’dajjidehampi sakaṃ nipacca aṅgārarāsimhi bubhukkhitāya.	sakam nipacca aṅgāra rāsimhi bubhukkhitāya 	Yo'dajji deham pi sakam nipacca aṅgāra rāsimhi bubhukkhitāya
Yo bodhiyā bāhiravatthudānā atittarūpo sivirāja seṭṭho;	yaḥ bodhiyā bāhira vatthu dānā sivi rāja seṭṭhaḥ 	yaḥ bodhiyā bāhira vatthu dānā atittarūpo sivi rāja seṭṭhaḥ
Pariplutaṅgorudhire titikkhimettāyamāno yasadāyake’va.	pariplutaṅgo rudhire yasa dāyakā iva 	pariplutaṅgo rudhire titikkhimettāyamāno yasa dāyakā iva
Silāya bhinne’pi sake lalāṭe taṃ khemabhumiṃ anayitthamūḷhaṃ.	bhinne ipi sake lalāṭe tam khema bhumim 	Silāya bhinne ipi sake lalāṭe tam khema bhumim anayitthamūḷhaṃ
Samuṭṭhite sajjumahāravinde ṭhatvāna yo seṭṭhi adāsi dānaṃ.	samuṭṭhite sajju mahā aravinde dānam 	samuṭṭhite sajju mahā aravinde ṭhatvāna yo seṭṭhi adāsi dānaṃ
Yo sattavasso visikhāya paṃsu kīḷāparo sambhavanāmako’pi;	yaḥ satta vassaḥ visikhāya sambhava nāmakaḥ api 	yaḥ satta vassaḥ visikhāya paṃsu kīḷā paraḥ sambhava nāmakaḥ api
Sabbaññulīḷhāya niguḷhapañhaṃ puṭṭho viyākāsi sucīratena.	sabbaññu līḷhāya niguḷha pañham puṭṭhaḥ 	sabbaññu līḷhāya niguḷha pañham puṭṭho viyākāsi sucīratena
Hitvā nikantiṃ sakajīvite’pi baddhāsakucchimhi ca vettavalliṃ;	hitvā nikantim saka jīvite pi ca vetta vallim 	hitvā nikantim saka jīvite pi baddha sakucchimhi ca vetta vallim
Santappayaṃ dhammasudhārasena yo mānuse tuṇḍilasūkaro’pi;	dhamma sudhā rasena yaḥ mānuse tuṇḍila sūkaraḥ api 	Santappayaṃ dhammasudhārasena yo mānuse tuṇḍilasūkaro'pi
Yo maccharājāpi avuṭṭhikāledisvānamacche tasitekilante;	yaḥ maccha rājā api tasi tekilante 	yo maccha rājā api avuṭṭhikāle disvā na macche tasite kilante
Dehābhinikkhanta hutāsanacci mālākulaṃ brahmabhavaṃ karitvā;	mālā ākulam brahma bhavam karitvā 	Dehā abhinikkhanta hutāsana acci mālā ākulam brahma bhavam karitvā
Athotaritvā gaganaṅgaṇamhā sā matthake seṭṭhisutassa tassa;	sā matthake seṭṭhi sutassa tassa 	Atha otaritvā gaganaṅgaṇamhā sā matthake seṭṭhi sutassa tassa
Patiṭṭhahitvāna sudhābhisittagattaṃ’va taṃ pīṇayi bhattitinnaṃ.	sudhā abhisitta gattam iva tam bhatti tinnam 	Patiṭṭhahitvāna sudhā abhisitta gattam iva tam pīṇayi bhatti tinnam
Bhetvā mahiṃuṭṭhahi cakkamattaṃ virājamānaṃ maṇikaṇṇikāya;	bhetvā cakka mattam virājamānam maṇi kaṇṇikāya 	bhetvā mahiṃ uṭṭhahi cakka mattam virājamānam maṇi kaṇṇikāya
Patiṭṭhabhitvāna tahiṃ saroje mandānilāvattitareṇu jāle;	patiṭṭhabhitvāna tahim saroje jāle 	patiṭṭhabhitvāna tahim saroje mandānilāvattitareṇu jāle
Te titthiyā taṃ abhivañcanaṃ’ti rājādhirājaṃ atha saññapetvā;	te titthiyā tam rāja adhirājam atha saññapetvā 	te titthiyā taṃ abhivañcanaṃ'ti rājādhirājaṃ atha saññapetvā
Ukkuṭṭhinādaṃ akariṃsu maccā suvāditā dundubhiādayo’pi.	ukkuṭṭhi nādam maccā su vāditāḥ dundubhi ādayaḥ api 	ukkuṭṭhi nādam akariṃsu maccā su vāditāḥ dundubhi ādayaḥ api
Vatthāni sīse bhamayiṃsu mattā bhujāni poṭhesumudaggacittā.	vatthāni sīse bhamayiṃsu mattā bhujāni 	vatthāni sīse bhamayiṃsu mattā bhujāni poṭhesumudaggacittā
Samussitānekadhajāvalīhi puraṃ tadā vatthamayaṃ’va āsi.	samussita aneka dhaja āvalīhi puram tadā āsi 	samussita aneka dhaja āvalīhi puram tadā vatthamayam va āsi
Disvā tamaccheramacintanīyaṃ āmoditāmaccagaṇā samaggā;	disvā āmodita a macca gaṇā samaggā 	disvā tam accheramacintanīyaṃ āmodita a macca gaṇā samaggā
Sutvānatesaṃ vacanaṃ narindo vikiṇṇakaḍkho ratanattayamhi;	vacanam narindaḥ vikiṇṇa kaḍkhaḥ 	Sutvāna tesaṃ vacanam narindaḥ vikiṇṇa kaḍkhaḥ ratanattayamhi
Asaddahāno ratanattayassa guṇe bhavacchedanakāraṇassa;	asat dahānaḥ guṇe bhava chedana kāraṇassa 	asaddahāno ratanattayassa guṇe bhava chedana kāraṇassa
Vihāya’haṃ campakapupphadāmaṃ adhārayiṃ jattusu nāgabhāraṃ.	campaka puppha dāmam adhārayim jattusu nāga bhāram 	Vihāya aham campaka puppha dāmam adhārayim jattusu nāga bhāram
Pāsādamāgamma pasādamassa vaḍḍhehi rañño ratanattayamhi.	pāsādam āgamma pasādam assa vaḍḍhehi raññaḥ 	pāsādam āgamma pasādam assa vaḍḍhehi rañño ratanattayamhi
Alaṅkarontī gaganaṃ ahosi mandākinīvābhinavāvatārā.	alaṅkarontī gaganam mandākinī iva abhinava avatārā 	alaṅkarontī gaganaṃ ahosi mandākinī iva abhinava avatārā
Kundāvadātāhi pabhāhi sabbaṃ khirodakucchiṃ’va puraṃ akāsi.	kunda avadātāhi pabhāhi sabbam puram akāsi 	kunda avadātāhi pabhāhi sabbam khirodakucchim va puram akāsi
Maṇiṃ pasatthākarasambhavampi hutāsakammehabhīsaṅkharitvā;	maṇim pasattha ākara sambhavam pi 	maṇim pasattha ākara sambhavam pi hutāsaka kammeha abhisaṅkharitvā
Pāpentirājaññakirīṭakoṭiṃ vibhusanattaṃ vidunomanussā.	pāpenti rājañña kirīṭa koṭim vibhu sanattam 	pāpenti rājaññakirīṭakoṭim vibhusanattam vidunomanussā
Samussitodārasitātapatte pallaṅkaseṭṭhe ratanujjalamhi;	samussita udāra sita ātapatte pallaṅka seṭṭhe 	samussita udāra sita ātapatte pallaṅka seṭṭhe ratana ujjalamhi
Patiṭṭhapetvāna jinassa dhātuṃ pūjesi rājā ratanādikehi.	jinassa dhātum pūjesi rājā ratana ādikehi 	Patiṭṭhapetvāna jinassa dhātum pūjesi rājā ratana ādikehi
Narādhipo bhattibharānurūpaṃ sucittitaṃ dhātunivesanampi.	narādhipaḥ bhatti bhara anurūpam dhātu nivesanam pi 	narādhipo bhatti bhara anurūpaṃ sucittitaṃ dhātu nivesanam pi
Sapadi dharaṇipālo sāsanaṃ taṃ suṇitvā,	sapadi dharaṇi pālaḥ sāsanam tam 	sapadi dharaṇi pālo sāsanam tam suṇitvā
Suranara namitaṃ taṃ dantadhātuṃ gahetvā,	sura nara namitam tam dantadhātum 	sura nara namitam tam dantadhātum gahetvā
Gahita dijavilāso sīhaḷaṃ yāhi dīpaṃ;	dija vilāsaḥ sīhaḷam yāhi dīpam 	Gahita dija vilāsaḥ sīhaḷam yāhi dīpam
Savaṇa kaṭukametaṃ mātulassappavattiṃ;	kaṭukam etam mātulassa ppavattim 	Savaṇa kaṭukam etam mātulassa ppavattim
Nidahi dasanadhātuṃ vālukārāsimajjhe.	dasana dhātum vālukā rāsi majjhe 	Nidahi dasana dhātum vālukā rāsi majjhe
Agaṇita tanukhedā vītasārajjametaṃ;	tanu khedāḥ vīta sārajjam etam 	Agaṇita tanu khedāḥ vīta sārajjam etam
Vihagapatisarīraṃ māpayi tammuhutte,	vihaga pati sarīram tad muhutte 	vihaga pati sarīraṃ māpayi tad muhutte
Vinayamadhuramitthaṃ taṃ munīsaṃ avoca.	vinaya madhuram ittham tam avoca 	vinaya madhuram ittham tam munisam avoca
Vasatibhavanamesā nīyyate sīhaḷaṃ taṃ;	vasati bhavanam esā sīhaḷam tam 	vasati bhavanam esā nīyyate sīhaḷam tam
Nayanavisayabhāvātītatīrācalādiṃ,	nayana visaya bhāva atīta tīra acala ādim 	nayana visaya bhāva atīta tīra acala ādiṃ
Atulitamanubhāvaṃ dhātuyā pekkhataṃ taṃ,	a tulitam anubhāvam dhātuyā tam 	a tulitam anubhāvam dhātuyā pekkhatam tam
So’haṃ anekaratanujjalamoḷidhāriṃ,	aneka rata nujjala moḷi dhārim 	So'haṃ aneka ratana ujjala moḷi dhāriṃ
Buddho guṇehi vividhehi pamāṇa suñño;	buddhaḥ guṇehi vividhehi suññaḥ 	buddhaḥ guṇehi vividhehi pamāṇa suññaḥ
So’haṃ parittavibhavo tibhavekanāthaṃ,	saḥ aham paritta vibhavaḥ tibhava eka nātham 	saḥ aham paritta vibhavaḥ tibhava eka nātham
So niccalo abhavi santataraṅgabāhu.	saḥ niccalaḥ santa taraṅga bāhu 	so niccalo abhavi santa taraṅga bāhu
Mattebhakampitasupupaphitasālato’va,	matta ibha kampita supupa phita 	matta ibha kampita supupa phita sālato va
Anto’va bhumipati dhātugharaṃ mahagghaṃ,	antar uva bhumi pati dhātu gharam 	antar uva bhumi pati dhātu gharam mahaggham
Ke nojahiṃsu sakadiṭṭhimalānubaddhaṃ,	ke sakad iṭṭhi mala anubaddham 	ke no jahiṃsu sakadiṭṭhi mala anubaddham
