original	analyzed	corrected
tathā hi so saṃvāsaṃ sādiyantopi theyyasaṃvāsako na hoti, so sahaseyyādiāpattimpi	tathā hi saḥ saṃvāsam theyya saṃvāsakaḥ na hoti saḥ sahaseyya ādi āpattim pi 	tathā hi so saṃvāsaṃ sādiyanto pi theyya saṃvāsako na hoti so sahaseyya ādi āpattiṃ pi
tāvatiṃsabhavane sakko hutvā nibbatti, eko dhanañcayakorabyarañño aggamahesiyā kucchimhi	tāvatiṃsa bhavane sakkaḥ hutvā nibbatti ekaḥ aggamahesiyā kucchimhi 	tāvatiṃsa bhavane sakkaḥ hutvā nibbatti ekaḥ dhanañcaya korabya rañño aggamahesiyā kucchimhi
dukkhasmāti vadāmi. Punaca paraṃ brāhmaṇa idhekacco samaṇovā…pe… paṭijānamāno. Na	vadāmi punar ca param brāhmaṇaḥ idha ekaccaḥ samaṇovāpe paṭijānamānaḥ na 	dukkhasmāti vadāmi punar ca param brāhmaṇa idha ekaccaḥ samaṇovāpe paṭijānamānaḥ na
dukkhasmāti vadāmi. Punaca paraṃ brāhmaṇa idhekacco samaṇo vā…pe… na heva kho mātugāmena	vadāmi punaca param brāhmaṇaḥ idha ekaccaḥ samaṇaḥ vāpe na ha iva kho mātugāmena 	dukkhasmāti vadāmi punaca param brāhmaṇa idha ekacco samaṇo vā pe na heva kho mātugāmena
so tadassādeti…pe… dukkhasmāti vadāmi. Punaca paraṃ brāhmaṇa idhekacco samaṇovā brāhmaṇo	saḥ vadāmi punaca param brāhmaṇaḥ idha ekaccaḥ samaṇaḥ vā brāhmaṇaḥ 	saḥ tadassādeti pe dukkhasmāti vadāmi punaca param brāhmaṇa idha ekaccaḥ samaṇaḥ vā brāhmaṇaḥ
vā rodantiyā vā, so tadassādeti…pe… dukkhasmāti vadāmi. Punaca paraṃ brāhmaṇa idhekacco	vā rodantiyā vā saḥ dukkhasma ati vadāmi puna ca param brāhmaṇaḥ idha ekaccaḥ 	vā rodantiyā vā so tadassādeti pe dukkhasma ati vadāmi puna ca param brāhmaṇa idha ekacco
anussarati. So tadassā deti…pe… dukkhasmāti vadāmi. Punaca paraṃ brāhmaṇa idhekacco	anussarati saḥ tat assā dukkhasma ati vadāmi puna ca param brāhmaṇaḥ idha ekaccaḥ 	anussarati so tat assā deti pe dukkhasma ati vadāmi puna ca param brāhmaṇa idha ekacco
tadassādeti…pe… dukkhasmāti vadāmi. Punaca paraṃ brāhmaṇa…pe… na heva kho mātugāmena…pe…	dukkhasma ati vadāmi punaca param brāhmaṇape na ha iva khalu mātugāmenape 	tadassa ādeti pe dukkhasma ati vadāmi punaca param brāhmaṇa pe na ha iva khalu mātugāmena pe
kammāsampī”ti evaṃ lābhādihetukena bhedena ca sattavidhamethunasaṃyogena khaṇḍādibhāvo	evam lābha ādi hetukena bhedena ca sattavidha methuna saṃyogena khaṇḍa ādi bhāvaḥ 	kammāsampī ti evam lābha ādi hetukena bhedena ca sattavidha methuna saṃyogena khaṇḍa ādi bhāvo
chandarāgavasena antogehegatāva purisaṃ upanijjhāyati, rājorodho viya, sā tena gabbhaṃ	chanda rāga vasena purisam upanijjhāyati sā tena gabbham 	chanda rāga vasena anto geha gatā va purisam upanijjhāyati rāja orodho viya sā tena gabbham
jāto, sambhavena ajātattā. Pitughātakepi eseva nayo.	sambhavena a jāta ttā pitu ghātake pi eṣā iva nayaḥ 	jāto sambhavena a jāta ttā pitu ghātake pi esa eva nayo
karontassa itthinimittaṃ paṭicchannaṃ hoti, purisanimittaṃ pākaṭaṃ hoti. Purisaubhatobyañjanakassa	karontassa itthi nimittam paṭicchannam hoti purisa nimittam pākaṭam hoti 	karontassa itthi nimittam paṭicchannam hoti purisa nimittam pākaṭam hoti purisa ubhatobyañjanakassa
pākaṭaṃ. Itthiubhatobyañjanako sayañca gabbhaṃ gaṇhāti, parañca gaṇhāpeti. Purisa	pākaṭam sayam ca gabbham gaṇhāti param ca purisa 	pākaṭam itthiubhatobyañjanako sayam ca gabbham gaṇhāti param ca gaṇhāpeti purisa
tadā purisabyañjanaṃ pākaṭaṃ hoti, itthibyañjanaṃ paṭicchannaṃ tathā purisaubhatobyañjanakassapi.	tadā purisa byañjanam pākaṭam hoti itthi byañjanam paṭicchannam tathā 	tadā purisa byañjanam pākaṭam hoti itthi byañjanam paṭicchannam tathā purisa ubhato byañjanakassa api
Yadi tesaṃ indriyadvayaṃ byañjanānaṃ kāraṇaṃ bhaveyya, sadā byañjana dvayaṃ ekato	yadi indriya dvayam kāraṇam sadā 	yadi tesaṃ indriya dvayaṃ byañjanānaṃ kāraṇaṃ bhaveyya sadā byañjana dvayaṃ ekato
ayuttova. Kasmā, pavattiyaṃyeva itthiliṅgādīni samuṭṭhahanti. Paṭisandhiyameva samuṭṭhāti,	kasmā itthi liṅga ādīni samuṭṭhahanti paṭisandhiyam eva samuṭṭhāti 	ayutto va kasmā pavattiyaṃ yeva itthi liṅga ādīni samuṭṭhahanti paṭisandhiyam eva samuṭṭhāti
na liṅgādīni. Indriyameva liṅganti na sakkā vattuṃ, indriyaliṅgānaṃ bhinnasabhāvattā,	na liṅga ādīni indriyam eva liṅganti na sakkā vattum 	na liṅga ādīni indriyam eva liṅganti na sakkā vattuṃ indriya liṅgānaṃ bhinna sabhāvattā
Sambandhaṃ vavatthitaṃ vimuttaṃ, dasadhā byañjanabuddhiyā pabhedo”ti.	sambandham vavatthitam vimuttam dasadhā 	sambandham vavatthitam vimuttam dasadhā byañjanabuddhiyā pabhedo ti
aparāmasanāni pacchā ñattiṭṭhapanañcāti ime tāva pañca ñattidosā. Tattha ayaṃ itthanāmoti	pacchā ime tāva pañca tattha ayam itthanāmā ti 	aparāmasanāni pacchā ñattiṭṭhapanañcāti ime tāva pañca ñattidosā tattha ayaṃ itthanāmoti
catukkhattuṃ ñattikittanameva vā kammavācabbhantarepi cattāri byañjanāni kopetvā	catu khattum ñatti kittanam eva vā cattāri byañjanāni kopetvā 	catu khattum ñatti kittanam eva vā kamma vācā abbhantare pi cattāri byañjanāni kopetvā
pana sātisāro tenevāha vimativinodaniyampi pattacīvarānaṃ abhāvepi’paripuṇṇassa pattacīvara’nti	pana sa atisāraḥ tena iva āha patta cīvarānaṃ abhāve pi paripuṇṇassa 	pana sa atisāraḥ tena eva āha vimativinodaniyam pi patta cīvarānaṃ abhāve pi paripuṇṇassa patta cīvara nti
paṇḍakādikena vināva pañcavaggādigaṇo pūrati, kammaṃ na kuppati. Itarathā kuppatī”ti.	paṇḍaka ādikena pūrati kammam na kuppati itarathā kuppati iti 	paṇḍaka ādikena vināva pañcavaggādigaṇo pūrati kammam na kuppati itarathā kuppati iti
Pāliphullo mahāsālo, ucco merunagūpamo;	pāliphullaḥ mahā sālaḥ uccaḥ meru nagu upamaḥ 	pāliphullaḥ mahā sālaḥ uccaḥ meru nagu upamaḥ
Dharanteyeva sambuddhe, bhinnavādo avisayo.	sambuddhe bhinna vādaḥ a visayaḥ 	Dharante yeva sambuddhe bhinna vādaḥ a visayaḥ
sammatā. Tassāvitthāro ''paṭhamaṃ nimittā kittetabbā''ti ādinā dvāsattatippabhedāya	paṭhamam nimittā ādinā dvāsattati pabhedāya 	paṭhamam nimittā kittetabbā ti ādinā dvāsattati pabhedāya
na otaratīti ime dve ekatthā byañjanameva nānaṃ. Ayañhetthatthouparimassa sīmāparicchedassa	na otarati iti ime dve ekatthā byañjanam eva sīmā paricchedassa 	na otarati iti ime dve ekatthā byañjanam eva nānaṃ ayaṃ hi ettha attho uparimassa sīmā paricchedassa
vasanti, ayameva upacārasīmāti adhippetā. Bhikkhūnaṃ vassūpagamanakathinatthārakaraṇaṭṭhānattā,	vasanti ayam eva upacāra sīmā ti adhippetā bhikkhūnam 	vasanti ayam eva upacāra sīmā ti adhippetā bhikkhūnam vassūpagamana kathina tthāra karaṇa ṭṭhānattā
tathā hi “kathinatthatasīmāya”nti upacārasīmaṃ sandhāya vuttaṃ, khandhasīmāya tatruppādābhāvatoti	tathā hi upacāra sīmam sandhāya vuttam khandha sīmāya tatra uppāda abhāvato ti 	tathā hi kathinatthata sīmāya nti upacāra sīmam sandhāya vuttam khandha sīmāya tatra uppāda abhāvato ti
tīsupi gaṇṭhipadesu vuttaṃ. Tatruppādenā bhatanti vihārasantakena khettavatthuādinā	tīsu pi gaṇṭhi padesu vuttam vihāra santakena khetta vatthu ādinā 	tīsu pi gaṇṭhi padesu vuttaṃ tatruppādenā bhata nti vihāra santakena khetta vatthu ādinā
tasmā kathinatthatasīmāyaṃ anuddhaṭe kathine yāva phagguṇapuṇṇamā pañca māsā etthantare	an uddhaṭe kathine yāva phagguṇa puṇṇamā pañca māsāḥ etthantare 	tasmā kathina atthata sīmāyaṃ an uddhaṭe kathine yāva phagguṇa puṇṇamā pañca māsāḥ etthantare
Kathinatthatasāṭakassa dānakammavācā pana khaṇḍasīmāyameva vaṭṭasi. Tasmiṃ vihāre	dāna kamma vācā pana khaṇḍa sīmāyam eva vaṭṭasi tasmin vihāre 	kathina atthata sāṭakassa dāna kamma vācā pana khaṇḍa sīmāyam eva vaṭṭasi tasmiṃ vihāre
Kasmāti ce, tasmiṃ vihāre purimikāya upagatā kathinatthārakusalā na honti. Atthārakusalā	kasmāti ce tasmin vihāre purimikāya upagatā na honti atthāra kusalā 	kasmāti ce tasmin vihāre purimikāya upagatā kathinatthārakusalā na honti atthāra kusalā
idaṃ aṭṭhakathāyaṃ vicāritaṃ. Apare pana “kathinatthatasīmanti upacārasīmaṃ sandhāya	idam aṭṭhakathā ayam vicāritam apare pana upacāra sīmam sandhāya 	idam aṭṭhakathā ayam vicāritam apare pana kathinatthata sīmanti upacāra sīmam sandhāya
vutta”nti vuttattā upacārasīmāyameva kathinanatthāraka ñattiṃ karonti, taṃ ayuttaṃ,	vuttam ti vutta ttā upacāra sīmāyam eva ñattim karonti tam ayuttam 	vuttam ti vutta ttā upacāra sīmāyam eva kathina atthāraka ñattim karonti tam ayuttam
bhikkhū tattha pāsānayanaṃ vā bahisīmakaraṇaṃ vā ko sakkhissati. “Kathinatthatasīmāya”nti	bhikkhū tattha pāsā nayanam vā bahi sīmakaraṇam vā kaḥ sakkhissati 	bhikkhū tattha pāsā nayanam vā bahi sīmakaraṇam vā ko sakkhissati kathinatthatasīmāyanti
imināpipadena kathinatthatabhāvoyeva vutto, na kathinatthatasāṭakassa dānakammavācā,	iminā api padena vuttaḥ na dāna kamma vācā 	iminā api padena kathinatthata bhāvo yeva vutto na kathina atthata sāṭakassa dāna kamma vācā
Kathinatthatasāṭakadānepi anatthateyeva kathine tato bahuānisaṃsacīvarasāṭakaṃ labhitvā	kathinatthata sāṭaka dāne pi kathine tatas labhitvā 	kathinatthata sāṭaka dāne pi anatthate yeva kathine tato bahu ānisaṃsa cīvara sāṭakaṃ labhitvā
saṅghassa anumatiyā dātabbaṃ. Kathinatthatasāṭakadānakammavācā ekā ce vaṭṭati. Puna	saṅghassa anumatiyā dātabbam ekā ce vaṭṭati puna 	saṅghassa anumatiyā dātabbam kathinatthatasāṭakadānakammavācā ekā ce vaṭṭati puna
sammatā sīmā, etā dvesīmā tiyojanaparamatāyapi sambhavato mahāsīmā tipi nāmaṃ labhanti,	sammatā sīmā etāḥ sambhavataḥ mahāsīmā nāmam labhanti 	sammatā sīmā etā dve sīmā tiyojanaparamatāya api sambhavato mahāsīmā ti pi nāmam labhanti
aññesaṃ dammīti adatvā puggale mate saṅghiko hoti, udāhu puggalikoyevāti. Tatrāyaṃ	aññesam dammi iti a datvā puggale mate saṅghikaḥ hoti udāhu tatra ayam 	aññesam dammi iti a datvā puggale mate saṅghiko hoti udāhu puggaliko eva iti tatra ayam
na puggalassa, khettādi viya daṭṭhabba”nti. Tatrāyaṃ yojanā vihārassādemāti vatvā	na puggalassa khetta ādi viya daṭṭhabbanti tatra ayam yojanā vatvā 	na puggalassa khetta ādi viya daṭṭhabbanti tatra ayam yojanā vihārassa āde mā iti vatvā
pana udakaparibhogatthaṃ kūpapokkharaṇīādayo vaṭṭanti. Saṅghassataḷākaṃatthi, taṃkathantiādināhisabbattha	pana udaka paribhoga attham kūpa pokkharaṇī ādayaḥ vaṭṭanti tam katham ti ādinā hi sabbattha 	pana udaka paribhoga attham kūpa pokkharaṇī ādayo vaṭṭanti saṅghassa taḷākam atthi tam katham ti ādinā hi sabbattha
taditarānaṃ tathāgahetabbatā siddhāva hotī’ti vuttaṃ, tasmā taḷākakhettavatthādisahitassa	tathāgahetabba tā siddhau a hoti iti vuttam tasmā taḷāka khetta vattha ādi sahitassa 	taditarānaṃ tathāgahetabba tā siddhā va hoti iti vuttaṃ tasmā taḷāka khetta vattha ādi sahitassa
Ettha ca yaṃ tattha garubhaṇḍa’nti ādīsu garubhaṇḍaṃ nāma rāsivasena pañcavidhaṃ,	ca yam tattha ādīsu garubhaṇḍam nāma rāsi vasena pañcavidham 	Ettha ca yam tattha garubhaṇḍa'nti ādīsu garubhaṇḍam nāma rāsi vasena pañcavidham
Pañcavīsavidhaṃ nātho, garubhaṇḍaṃ pakāsayīti.	pañcavīsavidham nā atho garubhaṇḍam 	pañcavīsavidham nātho garubhaṇḍam pakāsayīti
tathā sūnāparantaraṭṭhavāsinopi mahātherā tathā isinagaravāsinopi mahātherā puggalikabhāvena	tathā mahā therā tathā isi nagara vāsinaḥ api mahā therā puggalika bhāvena 	tathā sūnāparanta raṭṭha vāsino api mahā therā tathā isi nagara vāsino api mahā therā puggalika bhāvena
gāmūpacārañcā’ti ettha viruddhasenāsanaṃ ṭhapetvā sabbakappiyākappiyaṃ vihārassa	ettha viruddha senāsanam ṭhapetvā sabba kappiya akappiyam vihārassa 	gāmūpacārañcā'ti ettha viruddha senāsanam ṭhapetvā sabba kappiya akappiyam vihārassa
na vaṭṭatī”ti sāratthadīpaniyaṃ vutta vacanenāpi avirodho siyā, tathā “senāsane kiñci	na vaṭṭati iti vacanena api avirodhaḥ siyā tathā senāsane kiñci 	na vaṭṭati iti sāratthadīpaniyaṃ vutta vacanena api avirodhaḥ siyā tathā senāsane kiñci
paṭisedhetabbaṃ natthi aññatra viruddhasenāsananā”ti aṭṭhakathāvacanenāpi saṃsandameva.	paṭisedhetabbam natthi aññatra aṭṭhakathā vacanena api saṃsandam eva 	paṭisedhetabbam natthi aññatra viruddhasenāsananā ti aṭṭhakathā vacanena api saṃsandam eva
akappiyaṃ paṭibāhati, taṃ vo kappatī”ti iminā suttānulomenapisaṃndameva. Kathaṃ “anujānāmi	akappiyam paṭibāhati tam vaḥ kappati iti iminā katham anujānāmi 	akappiyam paṭibāhati tam vo kappati iti iminā suttānulomena pi sandam eva katham anujānāmi
aññadatthu gaṅgodakena yamunodakaṃ viya khettavatthādisahitavihāro puggalikabhāvenāpi	gaṅgā udakena yamunā udakam viya khetta vattha ādi sahita vihāro puggalika bhāvena api 	aññadatthu gaṅgā udakena yamunā udakam viya khetta vattha ādi sahita vihāro puggalika bhāvena api
Yadi chejjabhejjakaro bhaveyya, rājātveva saṅkhyaṃ gacchati. Sopi gāmadeso nagararajjasīmā	yadi chejjabhejja karaḥ rājā atu eva saṅkhyam gacchati saḥ api gāma desaḥ nagara rajja sīmā 	yadi chejjabhejja karo bhaveyya rājā tu eva saṅkhyam gacchati so api gāma deso nagara rajja sīmā
mahanto vā, gāmasīmātveva saṅkhyaṃ gacchati. Nagaranigamasīmāsupi eseva nayo”ti.	mahantaḥ vā gāma sīmā tu eva saṅkhyam gacchati nagara nigama sīmā supi 	mahantaḥ vā gāma sīmā tu eva saṅkhyam gacchati nagara nigama sīmā supi esa eva nayo ti
sattabbhantarāti yasmiṃ viñjhāṭavisadise araññe bhikkhu vasati, athassa ṭhitokāsato	yasmin viñjhāṭa visadise araññe bhikkhu vasati athassa ṭhita ukāsataḥ 	sattabbhantarāti yasmin viñjhāṭa visadise araññe bhikkhu vasati athassa ṭhita okāsato
hatthappamāṇaṃ hoti, tasmā puratthimāya sattabbhantare channavutisatahatthappamāṇaṃ	hattha ppamāṇam hoti tasmai puratthimāya channavuti sata hattha ppamāṇam 	hattha ppamāṇam hoti tasmā puratthimāya sattabbhantare channavuti sata hattha ppamāṇam
“Pañcahattho mato daṇḍo, vīsadaṇḍo usabho;	pañca hatthaḥ mataḥ daṇḍaḥ vīsa daṇḍaḥ usabhaḥ 	pañca hattho mato daṇḍo vīsa daṇḍo usabho
Sabbaṃ aṭṭhavīsati abbhantaraṃ sampiṇḍetvā catuhatthādhikachappaññāsuttara ekasataṃ	sabbam aṭṭhavīsati abbhantaram sampiṇḍetvā ekasatam 	sabbam aṭṭhavīsati abbhantaram sampiṇḍetvā catuhatthādhikachappaññāsuttara ekasatam
hoti. Parimaṇḍalavasena pana chahatthādhikacatutiṃsuttaradvesatāni honti, usabhavasena	hoti parimaṇḍala vasena pana honti usabha vasena 	hoti parimaṇḍala vasena pana chahatthādhikacatutiṃsuttaradvesatāni honti usabha vasena
bhaveyya, aṭṭhakathāyaṃ tattha abbhantaraṃ nāma aṭṭhavīsatihatthappamāṇaṃ hoti, majjhe	tattha abbhantaram nāma aṭṭhavīsati hattha ppamāṇam hoti majjhe 	bhaveyya aṭṭhakathāyaṃ tattha abbhantaram nāma aṭṭhavīsati hattha ppamāṇam hoti majjhe
Dve vidatthitu ratanaṃ, sattahatthaṃ ekayaṭṭhi;	dve ratanam satta hattham eka yaṭṭhi 	dve vidatthi tu ratanam satta hattham eka yaṭṭhi
Vīsayaṭṭhitu usabhaṃ, usabhāsīti gāvutaṃ;	usabham usabhā asi iti gāvutam 	Vīsa yaṭṭhi tu usabham usabhā asi iti gāvutam
Vuttattā dasakesā ekaṃ tilaṃ nāma. Chatilaṃ ekaṃ yavaṃ nāma. Catuyavaṃ ekāaṅguli	vutta ttā dasa kesāḥ ekam tilam nāma cha tilam ekam yavam nāma catu yavam 	vutta ttā dasa kesāḥ ekam tilam nāma cha tilam ekam yavam nāma catu yavam ekā aṅguli
Trimuṭṭhi ekaratanaṃ, aṭṭhavīsatiratanaṃ ekaṃabbhantaranti.	eka ratanam aṭṭhavīsati ratanam 	Trimuṭṭhi eka ratanam aṭṭhavīsati ratanam ekam abbhantaran ti
rājā”tiādīsu sadise. “Amala”nti ādīsu viruddhe. “Aseṭṭhoyaṃ brāhmaṇo abrahmacārī”ti	rājā ati ādīsu sadise ādīsu viruddhe a seṭṭhaḥ yam brāhmaṇaḥ a brahmacārī iti 	rājā ati ādīsu sadise amala iti ādīsu viruddhe a seṭṭhaḥ yam brāhmaṇaḥ a brahmacārī iti
nimanusse kevalāraññeti attho. Virahattho vā agāmake gāmavirahite padeseti attho	kevala araññā iti atthaḥ viraha atthaḥ vā agāmake gāma virahite padese iti atthaḥ 	nimanusse kevalāraññe iti attho viraha attho vā agāmake gāma virahite padese iti attho
daṭṭhabbo. Teneva suññatthena virahatthena “agāmake”timināpadena gāmanadījātassarasamudde	daṭṭhabbo tena iva suñña tthena viraha tthena gāma nadī jāta ssara samudde 	daṭṭhabbo teneva suñña tthena viraha tthena agāmake ti imina padena gāma nadī jāta ssara samudde
ajaṭākāsepi labbhateva. Nanu chakāmāvacara devalokesupi devavimānakapparukkhagāmanigamādayopi	ajaṭā kāse pi deva vimāna kappa rukkha gāma nigama ādayaḥ pi 	ajaṭā kāse pi labbhati eva nanu cha kāmāvacara deva lokesu pi deva vimāna kappa rukkha gāma nigama ādayaḥ pi
thāmamajjhimassa purisassa tenevāha samantapākādikāya vinayaṭṭhakathāyaṃ “thāmamajjhimena	thāma majjhimassa purisassa tena iva āha samanta pāka ādikāya thāma majjhimena 	thāma majjhimassa purisassa tena eva āha samanta pāka ādikāya vinaya aṭṭhakathāyaṃ thāma majjhimena
kāyabalaṃ. “Nārāyanasaṅkhātaṃ bala”ntipi idameva vuccati. Tattha nārā vuccanti rasmiyo,	kāya balam nārāyana saṅkhātam idam eva vuccati tattha nārāḥ vuccanti 	kāya balaṃ nārāyana saṅkhātaṃ balaṃ ti pi idam eva vuccati tattha nārā vuccanti rasmiyo
minetuṃ abhabbo, antamaso pādaṅguṭṭha so pādaṅguṭṭhakampi gaṇhetuṃ abhabbova. Tassa	minetum abhabbaḥ saḥ pādaṅguṭṭhakam pi gaṇhetum abhabbaḥ uva tassa 	minetuṃ abhabbo antamaso pādaṅguṭṭha so pādaṅguṭṭhakam pi gaṇhetuṃ abhabbo eva tassa
nādhippetā. Kasmā kuṭikārasikkhāpadeyeva tihatthāti vaḍḍhakihatthena tihatthā. Pamāṇayutto	na adhippetā kasmā ti hatthā ati vaḍḍhaki hatthena ti hatthā pamāṇa yuttaḥ 	na adhippetā kasmā kuṭikāra sikkhāpade yeva ti hatthā ati vaḍḍhaki hatthena ti hatthā pamāṇa yutto
idha avatvā’thāmamajjhimena purisenā’ti aṭṭhakathāyaṃ vuttattā. Pakatipuriso nāma’yaṃ	idha purisena ati aṭṭhakathā ayam vutta ttā pakati purisaḥ nāma ayam 	idha avatvā atha majjhimena purisena iti aṭṭhakathāyaṃ vuttattā pakati puriso nāma ayaṃ
sīmā samānasaṃvāsāceva ekūposathācā’ti atthayojanaṃ katvā ayaṃ etesaṃ nadīādīnaṃ	sīmā attha yojanam katvā ayam etesam nadī ādīnam 	sīmā samāna saṃvāsā ceva ekūposathā cā ti attha yojanam katvā ayam etesam nadī ādīnam
na gacchati, antoyeva gacchati, tasmā tesaṃ antoparisapariyantato paṭṭhāya samantāudakukkhepa	na gacchati antar yā iva gacchati tasmā tesam paṭṭhāya 	na gacchati antoyeva gacchati tasmā tesaṃ antoparisapariyantato paṭṭhāya samantā udakukkhepa
sīmāparicchedadassanatthaṃ vuttaṃ, ticīvarena vippavāsaparicchedadassanatthampi sattabbhantarasīmāya	sīmā pariccheda dassana attham vuttam ti cīvarena vippavāsa pariccheda dassana attham pi 	sīmā pariccheda dassana attham vuttam ti cīvarena vippavāsa pariccheda dassana attham pi satta abbhantara sīmāya
majjhimapuriso na ñāyati, tathā sabbathāmena khipana”nti vā, “etadatthameva hi vālikādīhi	majjhima purisaḥ na vā etad attham eva hi vālikā ādīhi 	"majjhima puriso na ñāyati tathā sabbathāmena khipana""nti vā etad attham eva hi vālikā ādīhi"
