original	analyzed	corrected
patitaṃ yaṃ kiñcipi sīdantaranadiyaṃ vilīyantā sīdanteva, tasmā taṃ parivāretvā ṭhitā	patitam yam kiñcipi vilīyantā sīdantā iva tasmai tam parivāretvā ṭhitā 	patitam yam kiñcipi sīdantaranadiyam vilīyantā sīdantā eva tasmā tam parivāretvā ṭhitā
viyā”ti. Āhārahetūti āmisahetu sappitelādinimittaṃ, tesaṃ paṇāmanā.	viyāti āhāra hetu sappi tela ādi nimittam tesam paṇāmanā 	viyāti āhāra hetu āmisa hetu sappi tela ādi nimittam tesam paṇāmanā
Upari tiparivaṭṭadesanāya animittasamādhiyeva dīpito. Tenāha “yāvañcida”nti. Niddosoti	upari ti parivaṭṭa desanāya dīpitaḥ tena āha niddosaḥ iti 	upari ti parivaṭṭa desanāya animittasamādhiyeva dīpito tena āha yāvañcidanti niddoso iti
dassento “taṇhāsampayutta…pe… jāyatī”ti codeti. Itaro upanissayakoṭi idhādhippetāti	dassento taṇhā sampayutta pe jāyati iti codeti itaraḥ idha adhippetā ti 	"dassento ""taṇhā sampayutta pe jāyati"" iti codeti itaro upanissayakoṭi idha adhippetā ti"
sambhavo eva. Diṭṭhiyāpīti dvāsaṭṭhidiṭṭhiyāpi. Tenāha “catūsu hī”tiādi. Vīsati sakkāyadiṭṭhiyo	eva diṭṭhiyā api iti dvāsaṭṭhi diṭṭhiyā api tena āha catūsu hi itiādi vīsati sakkāya diṭṭhiyo 	sambhavo eva diṭṭhiyā api iti dvāsaṭṭhi diṭṭhiyā api tena āha catūsu hi iti ādi vīsati sakkāya diṭṭhiyo
83. Paṭiccāti nissayaṃ katvā. “Esohamasmī”ti diṭṭhiggāho, “seyyohamasmī”ti mānaggāho	paṭicca ati nissayam katvā esā uham asmi iti diṭṭhi ggāho seyyā uham asmi iti māna ggāho 	paṭicca ati nissayam katvā eso aham asmi iti diṭṭhi ggāho seyyo aham asmi iti māna ggāho
84. Madhurakaṃ vuccati kāye vibhāranti āha – “madhurakajāto viyāti sañjātagarubhāvo	madhurakam vuccati kāye āha madhuraka jātaḥ viyāti sañjāta garu bhāvaḥ 	madhurakam vuccati kāye vibhāranti āha madhuraka jātaḥ viyāti sañjāta garu bhāvaḥ
tasmā. Aññatitthiyā…pe… etadavocuṃ. Tenāha “ekadesena sāsanasamayaṃ jānantā”ti.	tasmai etat avocum tena āha eka desena sāsana samayam jānantā iti 	tasmā aññatitthiyā pe etad avocuṃ tena āha eka desena sāsana samayaṃ jānantā iti
88. Passambhitvāti nirodhetvā. No ca svāhanti no ca su ahaṃ. Parihāyi kuppadhammattā.	no ca svāhā ati nirodhetvā no ca su aham parihāyi kuppa dhamma ttā 	Passambhitvā ti nirodhetvā no ca svāhā ati nirodhetvā no ca su aham parihāyi kuppa dhamma ttā
na bhavissatī”ti. Yadaggenāti yena bhāgena. “Dukkhaṃ patthetiyevā”ti vatvā tattha	na bhavissati iti yad aggena ati yena bhāgena dukkham vatvā tattha 	na bhavissati iti yad aggena ati yena bhāgena dukkham pattheti eva iti vatvā tattha
loko”tiādi diṭṭhiviniveṭhanā. “Ete te, kaccāna, ubho ante anupagammā”tiādi buddhabaladīpanā.	loka uti ādi diṭṭhi viniveṭhanā ete te ubho ante buddha bala dīpanā 	loka uti ādi diṭṭhi viniveṭhanā ete te kaccāna ubho ante anupagammā uti ādi buddha bala dīpanā
viruddhaṃ katvā vadati. Lokadhammoti lujjanasabhāvadhammo. Ko pana soti āha “khandhapañcaka”nti.	viruddham katvā vadati loka dhammo ti ko pana saḥ ti āha khandha pañcakam ti 	viruddham katvā vadati loka dhammo ti lujjana sabhāva dhammo ko pana so ti āha khandha pañcakam ti
“mayhaṃ hī”tiādi. Tathā cāha “akkhāto vo mayā maggo”tiādi. “Tayo lokā kathitā”ti	mayham hi itiādi tathā ca āha akkhātaḥ vaḥ mayā maggaḥ itiādi tayaḥ lokā kathitā ati 	mayham hi iti ādi tathā ca āha akkhāto vo mayā maggo iti ādi tayo lokā kathitā iti
āha. Tena rūpampi nissāratāya bhijjatevāti dasseti. Yathā hi aniccatāya asāratāsiddhi,	āha tena rūpam pi nissāra tāya bhijjatā iva ati dasseti yathā hi anicca tāya 	āha tena rūpam pi nissāra tāya bhijjatā eva iti dasseti yathā hi anicca tāya asāra tā siddhi
evaṃ asāratāyapi aniccatāsiddhīti aniccatāya eva niccasāraṃ thirabhāvasāraṃ dhuvasāraṃ	evam anicca tā siddhi iti anicca tāyaḥ eva nicca sāram thira bhāva sāram dhuva sāram 	evaṃ asāratāya api aniccatā siddhi iti aniccatāya eva nicca sāraṃ thira bhāva sāraṃ dhuva sāraṃ
phassasamodhānaṃ. Pubbuḷasadisā muhuttaramaṇīyatāya. Yasmā ghammakāle sūriyātapasantāpābhinibbattarasmijālanipāte	phassa samodhānam pubbuḷasa disā muhutta ramaṇīya tāya yasmai ghamma kāle 	phassa samodhānam pubbuḷasa disā muhutta ramaṇīya tāya yasmā ghamma kāle sūriya ātapa santāpa abhinibbatta rasmi jāla nipāte
Tenāha “saṇhapaññena cevā”tiādi. Kimigaṇādīnanti ādi-saddena anekagijjhādike saṅgaṇhāti.	tena āha saṇha paññena ca iva atiādi ādi saddena aneka gijjha ādike saṅgaṇhāti 	tena āha saṇha paññena ca eva iti ādi kimi gaṇa ādīnanti ādi saddena aneka gijjha ādike saṅgaṇhāti
samaṃ samakālaṃ. Anenāti bhagavatā. Nayidanti ettha ya-kāro padasandhikaro, idanti	samam sama kālam anena ati bhagavatā ettha yakāro pada sandhi karaḥ 	samam sama kālam anena ati bhagavatā nayidanti ettha yakāro pada sandhi karo idanti
nipātapadaṃ. Taṃ pana yena yena sambandhīyati, taṃ tiliṅgova hotīti “ayaṃ maggabrahmacariyavāso”ti	nipāta padam tam pana yena yena tam hoti iti ayam magga brahmacariya vāsā iti 	nipāta padam tam pana yena yena sambandhīyati tam tiliṅgo va hoti iti ayam magga brahmacariya vāso iti
pavattati tato attānaṃ vivecetuṃ asakkuṇeyyattā. Cittasaṃkilesenevāti dasavidhakilesavatthuvasena	pavattati tatas attānam vivecetum citta saṃkilesena iva ati dasavidha kilesa vatthu vasena 	pavattati tato attānaṃ vivecetuṃ asakkuṇeyyattā cittasaṃkilesena eva iti dasavidha kilesa vatthu vasena
tesaṃ sattānaṃ cittavicittabhāvo. Tenāha “yoniupagatā”tiādi. Sadisacittāva sadisacittabhāvā	tesam sattānam tena āha yoni upagata atiādi sadisa cittā ava sadisa citta bhāvā 	tesam sattānam citta vicittabhāvo tena āha yoni upagata ati ādi sadisa cittā ava sadisa citta bhāvā
mūlaṃ kāraṇaṃ etesanti kammanānattamūlakā, tesaṃ. Liṅganānattaṃ itthiliṅgādinānattavasena	mūlam kāraṇam tesam liṅga nānattam itthi liṅga ādi nānatta vasena 	mūlam kāraṇam etesanti kammanānattamūlakā tesam liṅga nānattam itthi liṅga ādi nānatta vasena
Tenāha “usmīkatānī”ti. Bhāvitānīti kukkuṭavāsanāya vāsitāni. Sammāadhisayanāditividhakiriyākaraṇena	tena āha usmīkatāni iti bhāvitāni iti kukkuṭa vāsanāya vāsitāni 	tena āha usmīkatāni iti bhāvitāni iti kukkuṭa vāsanāya vāsitāni sammā adhisayana ādi tividha kiriyā karaṇena
dārūnaṃ heyyādijānanatthaṃ upanetvā. Dārūnaṃ gaṇḍaṃ haratīti palagaṇḍoti etena palena	upanetvā heyya ādi jānana attham upanetvā gaṇḍam harati iti etena palena 	dārūnaṃ heyyā ādi jānana atthaṃ upanetvā dārūnaṃ gaṇḍaṃ harati iti palagaṇḍo ti etena palena
kāmarāgaṃ pariyādiyatī”tiādi. Santānetvāti kasanaṭṭhānaṃ sabbaso vitanetvā pattharitvā.	kāma rāgam santānetvā ati kasana ṭṭhānam sabbasas vitanetvā pattharitvā 	kāma rāgam pariyādiyatī ti ādi santānetvā ti kasana ṭṭhānam sabbaso vitanetvā pattharitvā
pañcasu upamāsu. Purimāhīti kassakapabbajalāyanaambapiṇḍiupamāhi aniccasaññāya kiccaṃ	pañcasu upamāsu purima ahi iti anicca saññāya kiccam 	pañcasu upamāsu purimāhi iti kassaka pabbaja lāyana amba piṇḍi upamāhi anicca saññāya kiccaṃ
113-114. Yāvatāti yasmā. Imāya…pe… samannāgatoti “idaṃ dukkhanti yathābhūtaṃ nappajānātī”tiādinā	yāvatā iti yasmai samannāgataḥ ti idam dukkham ti yathābhūtam na pajānāti itiādinā 	yāvatā iti yasmā imāya pe samannāgataḥ ti idam dukkham ti yathābhūtam na pajānāti itiādinā
117-121. Tīraṃ vuccati vaṭṭaṃ orimatīranti katvā. Tenāha “athāyaṃ itarā pajā, tīramevānudhāvatī”ti.	tīram vuccati vaṭṭam katvā tena āha atha ayam itarā pajā tīram eva anudhāvati iti 	tīram vuccati vaṭṭam orimatīram iti katvā tena āha atha ayam itarā pajā tīram eva anudhāvati iti
136-149. Anto aggi mahanto chārikarāsi, tattha ukkuḷavikulato akkamantaṃ yāva kesaggaṃ	antar aggi mahantaḥ tattha ukkuḷa vikulataḥ akkamantam yāva kesaggam 	antar aggi mahantaḥ chārikarāsi tattha ukkuḷa vikulataḥ akkamantam yāva kesaggam
160. Mārasaddoyaṃ bhāvasādhanoti dassento “māro vā assāti maraṇaṃ vā bhaveyyā”ti	māra saddaḥ iyam bhāva sādhanaḥ ti dassento māraḥ vā assa ati maraṇam vā bhaveyya iti 	māra saddaḥ ayaṃ bhāva sādhanaḥ iti dassento māraḥ vā assa iti maraṇam vā bhaveyya iti
na tato paraṃ. Assāti brahmacariyassa.	na tatas param brahmacariyassa 	na tato param assati brahmacariyassa
161-169. Laggapucchāti lagganassa bajjhanassa pucchā. Yadi rūpādīsu sattattā satto,	lagga pucchā ati lagganassa bajjhanassa pucchā yadi rūpa ādīsu 	lagga pucchā ti lagganassa bajjhanassa pucchā yadi rūpa ādīsu sattattā satto
