original	analyzed	corrected
Sammukhāvinayo vinayo ceva sammukhāvinayo ca.	sammukha avinayaḥ vinayaḥ ca iva sammukha avinayaḥ ca 	sammukhā vinayo vinayo ca eva sammukhā vinayo ca
Amūḷhavinayo vinayo ceva amūḷhavinayo ca.	amūḍha vinayaḥ vinayaḥ ca iva amūḍha vinayaḥ ca 	amūḷha vinayo vinayo ca eva amūḷha vinayo ca
Sammukhāvinayo kusalo akusalo abyākato?	sammukha avinayaḥ kusalaḥ akusalaḥ a byākataḥ 	sammukhā vinayo kusalo akusalo abyākato
Amūḷhavinayo kusalo akusalo abyākato?	a mūḍha vinayaḥ kusalaḥ a kusalaḥ a byākataḥ 	a mūḷha vinayo kusalo a kusalo a byākato
Tassapāpiyasikā siyā kusalā, siyā akusalā siyā abyākatā.	siyā kusalā siyā akusalā siyā abyākatā 	Tassa pāpiyasikā siyā kusalā siyā akusalā siyā abyākatā
Tiṇavatthārako siyā kusalo, siyā akusalo, siyā abyākato.	siyā kusalaḥ siyā akusalaḥ siyā abyākataḥ 	Tiṇavatthārako siyā kusalo siyā akusalo siyā abyākato
Vivādādhikaraṇaṁ kusalaṁ akusalaṁ abyākataṁ.	vivāda adhikaraṇam kusalam akusalam 	vivāda adhikaraṇam kusalam akusalam abyākatam
Anuvādādhikaraṇaṁ kusalaṁ akusalaṁ abyākataṁ.	anuvāda adhikaraṇam kusalam akusalam 	anuvāda adhikaraṇam kusalam akusalam abyākatam
Āpattādhikaraṇaṁ kusalaṁ akusalaṁ abyākataṁ.	āpatta adhikaraṇam kusalam akusalam 	āpatta adhikaraṇam kusalam akusalam abyākatam
Kiccādhikaraṇaṁ kusalaṁ akusalaṁ abyākataṁ.	kicca adhikaraṇam kusalam akusalam 	kicca adhikaraṇam kusalam akusalam abyākatam
Yattha tassapāpiyasikā labbhati, tattha sammukhāvinayo labbhati;	yattha labbhati tattha sammukha avinayaḥ labbhati 	yattha tassa pāpiyasikā labbhati tattha sammukhā vinayo labbhati
yattha sammukhāvinayo labbhati, tattha tassapāpiyasikā labbhati.	yattha sammukha avinayaḥ labbhati tattha labbhati 	yattha sammukhā vinayo labbhati tattha tassa pāpiyasikā labbhati
Yattha tiṇavatthārako tattha sammukhāvinayo;	yattha tattha sammukha avinayo 	yattha tiṇavatthārako tattha sammukha avinayo
yattha sammukhāvinayo tattha tiṇavatthārako.	yattha sammukha avinayaḥ tattha 	yattha sammukhā vinayo tattha tiṇavatthārako
Yasmiṁ samaye sammukhāvinayena ca tassapāpiyasikāya ca adhikaraṇaṁ vūpasammati, yattha	yasmin samaye sammukha avinayena ca ca adhikaraṇam yattha 	yasmin samaye sammukha avinayena ca tassa papiyasikaya ca adhikaraṇam vupasammati yattha
Yasmiṁ samaye sammukhāvinayena ca tiṇavatthārakena ca adhikaraṇaṁ vūpasammati, yattha	yasmin samaye sammukha avinayena ca ca adhikaraṇam yattha 	yasmin samaye sammukha avinayena ca tiṇavatthārakena ca adhikaraṇam vūpasammati yattha
sammukhāvinayena ca sativinayena ca amūḷhavinayena ca tassapāpiyasikāya ca.	sammukhā vinayena ca sati vinayena ca amūḍha vinayena ca ca 	sammukhā vinayena ca sati vinayena ca amūḷha vinayena ca tassa pāpiyasikāya ca
Vivādādhikaraṇañca anuvādādhikaraṇañca katihi samathehi sammanti?	vivāda adhikaraṇam ca anuvāda adhikaraṇam katihi samathehi 	vivāda adhikaraṇam ca anuvāda adhikaraṇam ca katihi samathehi sammanti
Vivādādhikaraṇañca āpattādhikaraṇañca katihi samathehi sammanti?	vivāda adhikaraṇam ca āpatta adhikaraṇam katihi samathehi 	vivāda adhikaraṇam ca āpatta adhikaraṇam ca katihi samathehi sammanti
Vivādādhikaraṇañca āpattādhikaraṇañca catūhi samathehi sammanti—	vivāda adhikaraṇam ca āpatta adhikaraṇam ca catūhi samathehi 	vivāda adhikaraṇam ca āpatta adhikaraṇam ca catūhi samathehi sammanti
Vivādādhikaraṇañca kiccādhikaraṇañca katihi samathehi sammanti?	vivāda adhikaraṇam ca kicca adhikaraṇam katihi samathehi 	vivāda adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi sammanti
Vivādādhikaraṇañca kiccādhikaraṇañca dvīhi samathehi sammanti—	vivāda adhikaraṇam ca kicca adhikaraṇam ca dvīhi samathehi 	vivāda adhikaraṇam ca kicca adhikaraṇam ca dvīhi samathehi sammanti
Anuvādādhikaraṇañca āpattādhikaraṇañca katihi samathehi sammanti?	anuvāda adhikaraṇam ca āpatta adhikaraṇam katihi samathehi 	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca katihi samathehi sammanti
Anuvādādhikaraṇañca āpattādhikaraṇañca chahi samathehi sammanti—	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca chahi samathehi 	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca chahi samathehi sammanti
Anuvādādhikaraṇañca kiccādhikaraṇañca katihi samathehi sammanti?	anuvāda adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi 	anuvāda adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi sammanti
Anuvādādhikaraṇañca kiccādhikaraṇañca catūhi samathehi sammanti—	anuvāda adhikaraṇam ca kicca adhikaraṇam ca catūhi samathehi 	anuvāda adhikaraṇam ca kicca adhikaraṇam ca catūhi samathehi sammanti
sammukhāvinayena ca sativinayena ca amūḷhavinayena ca tassapāpiyasikāya ca.	sammukhā vinayena ca sati vinayena ca amūḍha vinayena ca ca 	sammukhā vinayena ca sati vinayena ca amūḷha vinayena ca tassa pāpiyasikāya ca
Āpattādhikaraṇañca kiccādhikaraṇañca katihi samathehi sammanti?	āpatta adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi 	āpatta adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi sammanti
Anuvādādhikaraṇañca āpattādhikaraṇañca kiccādhikaraṇañca katihi samathehi sammanti?	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca kicca adhikaraṇam katihi samathehi 	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi sammanti
sammukhāvinayena ca sativinayena ca amūḷhavinayena ca tassapāpiyasikāya ca.	sammukhā vinayena ca sati vinayena ca amūḍha vinayena ca ca 	sammukhā vinayena ca sati vinayena ca amūḷha vinayena ca tassa pāpiyasikāya ca
Vivādādhikaraṇañca anuvādādhikaraṇañca katihi samathehi sammanti?	vivāda adhikaraṇam ca anuvāda adhikaraṇam katihi samathehi 	vivāda adhikaraṇam ca anuvāda adhikaraṇam ca katihi samathehi sammanti
Vivādādhikaraṇañca āpattādhikaraṇañca katihi samathehi sammanti?	vivāda adhikaraṇam ca āpatta adhikaraṇam katihi samathehi 	vivāda adhikaraṇam ca āpatta adhikaraṇam ca katihi samathehi sammanti
Vivādādhikaraṇañca āpattādhikaraṇañca catūhi samathehi sammanti—	vivāda adhikaraṇam ca āpatta adhikaraṇam ca catūhi samathehi 	vivāda adhikaraṇam ca āpatta adhikaraṇam ca catūhi samathehi sammanti
sativinayena ca amūḷhavinayena ca tassapāpiyasikāya ca.	sati vinayena ca amūḍha vinayena ca ca 	sati vinayena ca amūḷha vinayena ca tassa pāpiyasikāya ca
Vivādādhikaraṇañca kiccādhikaraṇañca katihi samathehi sammanti?	vivāda adhikaraṇam ca kicca adhikaraṇam katihi samathehi 	vivāda adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi sammanti
Vivādādhikaraṇañca kiccādhikaraṇañca dvīhi samathehi sammanti—	vivāda adhikaraṇam ca kicca adhikaraṇam ca dvīhi samathehi 	vivāda adhikaraṇam ca kicca adhikaraṇam ca dvīhi samathehi sammanti
Anuvādādhikaraṇañca āpattādhikaraṇañca katihi samathehi sammanti?	anuvāda adhikaraṇam ca āpatta adhikaraṇam katihi samathehi 	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca katihi samathehi sammanti
Anuvādādhikaraṇañca āpattādhikaraṇañca chahi samathehi sammanti—	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca chahi samathehi 	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca chahi samathehi sammanti
Anuvādādhikaraṇañca kiccādhikaraṇañca katihi samathehi sammanti?	anuvāda adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi 	anuvāda adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi sammanti
Anuvādādhikaraṇañca kiccādhikaraṇañca catūhi samathehi sammanti—	anuvāda adhikaraṇam ca kicca adhikaraṇam ca catūhi samathehi 	anuvāda adhikaraṇam ca kicca adhikaraṇam ca catūhi samathehi sammanti
sammukhāvinayena ca sativinayena ca amūḷhavinayena ca tassapāpiyasikāya ca.	sammukhā vinayena ca sati vinayena ca amūḍha vinayena ca ca 	sammukhā vinayena ca sati vinayena ca amūḷha vinayena ca tassa pāpiyasikāya ca
Āpattādhikaraṇañca kiccādhikaraṇañca katihi samathehi sammanti?	āpatta adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi 	āpatta adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi sammanti
Anuvādādhikaraṇañca āpattādhikaraṇañca kiccādhikaraṇañca katihi samathehi sammanti?	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca kicca adhikaraṇam katihi samathehi 	anuvāda adhikaraṇam ca āpatta adhikaraṇam ca kicca adhikaraṇam ca katihi samathehi sammanti
Amūḷhavinayo sammukhāvinayena sammati;	amūḍha vinayaḥ sammukha avinayena 	amūḷha vinayo sammukhā vinayena sammati
Evaṁ siyā adhikaraṇā samathehi na sammanti.	evam siyāḥ adhikaraṇāḥ samathehi na 	evam siyāḥ adhikaraṇāḥ samathehi na sammanti
Evaṁ siyā adhikaraṇā adhikaraṇehi sammanti.	evam siyāḥ adhikaraṇāḥ adhikaraṇehi 	evam siyā adhikaraṇā adhikaraṇehi sammanti
vā, “āpattī”ti vā, “anāpattī”ti vā, “lahukā āpattī”ti vā, “garukā āpattī”ti vā, “sāvasesā	vā āpattiḥ iti vā anāpattiḥ iti vā lahukā āpattiḥ iti vā garukā āpattiḥ iti vā sā avasesā 	vā āpattiḥ iti vā anāpattiḥ iti vā lahukā āpattiḥ iti vā garukā āpattiḥ iti vā sāvasesā
Tāya āpattiyā saṅgho kammaṁ karoti kiccādhikaraṇaṁ.	tāya āpattiyā saṅghaḥ kammam karoti 	tāya āpattiyā saṅgho kammaṁ karoti kiccādhikaraṇaṁ
Tāya āpattiyā saṅgho kammaṁ karoti kiccādhikaraṇaṁ.	tāya āpattiyā saṅghaḥ kammam karoti 	tāya āpattiyā saṅgho kammaṁ karoti kiccādhikaraṇaṁ
Tāya āpattiyā saṅgho kammaṁ karoti kiccādhikaraṇaṁ.	tāya āpattiyā saṅghaḥ kammam karoti 	tāya āpattiyā saṅgho kammaṁ karoti kiccādhikaraṇaṁ
Tāya āpattiyā saṅgho kammaṁ karoti kiccādhikaraṇaṁ.	tāya āpattiyā saṅghaḥ kammam karoti 	tāya āpattiyā saṅgho kammaṁ karoti kiccādhikaraṇaṁ
sammukhāvinayena ca sativinayena ca amūḷhavinayena ca tassapāpiyasikāya ca.	sammukhā vinayena ca sati vinayena ca amūḍha vinayena ca ca 	sammukhā vinayena ca sati vinayena ca amūḷha vinayena ca tassa pāpiyasikāya ca
