original	analyzed	corrected
turiyāni antalikkhe vajjanti. Na kevalañca tāniyeva sabbānipi tantibaddha cammapariyonaddha	turiyāni antalikkhe vajjanti na kevalam ca tāniyā iva sabbāni pi 	turiyāni antalikkhe vajjanti na kevalam ca tāniyeva sabbāni pi tantibaddha cammapariyonaddha
Tena kho pana samayena kusinārā yāva saṇdhisamala saṃkaṭīrājannumattena odhinā maṇdārava	tena khalu pana samayena kusinārāḥ odhinā maṇdārava 	tena kho pana samayena kusinārā yāva saṇdhisamala saṃkaṭīrājannumattena odhinā maṇdārava
gahetvā tālavaṇeṭahi vijantā bhastāni dhamantā na sakkontiyeva aggiṃ gāhāpetuṃ. Atha	gahetvā vijantāḥ bhastāni dhamantāḥ na aggim gāhāpetum atha 	gahetvā tālavaṇeṭahi vijantā bhastāni dhamantā na sakkontiyeva aggiṃ gāhāpetuṃ atha
arasahassa patimaṇḍitā dasabalassa pādā saddhiṃ kappāsa paṭalehi pañcadussayugasatāni	dasabalassa pādā saddhim kappāsa paṭalehi 	arasa hassa patimaṇḍitā dasabalassa pādā saddhiṃ kappāsa paṭalehi pañca dussa yuga satāni
uṇhīsanti imā sattadhātuyo na vippakiṇṇā. Sesā vippakiriṃsu. Tattha sabbakhuddakā	imāḥ satta dhātuyaḥ na vippakiṇṇā sesāḥ tattha sabba khuddakā 	uṇhīsanti imāḥ satta dhātuyaḥ na vippakiṇṇā sesāḥ vippakiriṃsu tattha sabba khuddakā
citakameva gaṇhi mallarājāno ca suvaṇṇaghaṭe rajataghaṭe ca pūretvā ābhata nānāgaṇdhodakena	citakam eva ca suvaṇṇa ghaṭe rajata ghaṭe ca pūretvā nānā gaṇdha udakena 	citakam eva gaṇhi mallarājāno ca suvaṇṇa ghaṭe rajata ghaṭe ca pūretvā ābhata nānā gaṇdha udakena
jhayamāne parivāretvā ṭhita sālarukkhānaṃ sākhantarehi viṭapantarehi pattantarehi	sāla rukkhānam sākha antarehi viṭapa antarehi patta antarehi 	jhāyamāne parivāretvā ṭhita sāla rukkhānam sākha antarehi viṭapa antarehi patta antarehi
Bhagavāpi khattiyo, ahampi khattiyo, ahampi arahāmi bhagavato sarīrānaṃ thūpañca	bhagavā api khattiyaḥ aham pi khattiyaḥ aham pi arahāmi bhagavato 	bhagavā api khattiyaḥ aham pi khattiyaḥ aham pi arahāmi bhagavato sarīrānaṃ thūpañca
kāreṃntāva pacchato jātā. Te sabbepi sattanagaravāsino āgattvā amhākaṃ dhātuyo vā	pacchatas jātā te sabbe api satta nagara vāsinaḥ āgattvā amhākam dhātuyaḥ vā 	kāreṃntāva pacchatas jātā te sabbe api satta nagara vāsinaḥ āgattvā amhākam dhātuyaḥ vā
mātu thanato khiraṃ pītaṃ, amhehipi pītaṃ tumheyeva purisā amhe na purisā hotu hotūti	khiram pītam amhehi pi pītam tumheya iva purisāḥ amhe na purisāḥ hotu hotu uti 	mātu thanato khiram pītam amhehi pi pītam tumheya eva purisā amhe na purisā hotu hotu iti
ekapadampi te na jāniṃsu dutiyaka bhāṇavāra pariyosāne’ācariyassa viya bhosaddo,	eka padam pi te na jāniṃsu viya bhosaddaḥ 	eka padam pi te na jāniṃsu dutiyaka bhāṇavāra pariyosāne ācariyassa viya bhosaddaḥ
khattiyo, mayampi khattiyo mayampi, arahāma labhituṃ bhagavato sarīrānaṃ bhāganti	khattiyaḥ mayam pi khattiyaḥ mayam pi arahāma labhitum bhagavato 	khattiyaḥ mayam pi khattiyaḥ mayam pi arahāma labhitum bhagavato sarīrānam bhāganti
attano attano balānurūpena nīharitvā sakasakaṭṭhāne thūpamakaṃsu. Doṇipi brāhmaṇo	attanaḥ attanaḥ bala anurūpena nīharitvā saka saka ṭṭhāne brāhmaṇo 	attanaḥ attanaḥ bala anurūpena nīharitvā saka saka ṭṭhāne thūpam akaṃsu doṇi pi brāhmaṇo
piphphalīvaniyāpi moriyā sakasakaṭṭhāne thūpamakaṃsūti.	piphphalī vaniyā api moriyā saka saka ṭṭhāne 	piphphalī vaniyā api moriyā saka saka ṭṭhāne thūpam akaṃsu iti
tāva mama hotu, dhātuyo pana kathaṃ āharāpemiti. Na mahārāja dhātu āharaṇaṃ tuyhaṃ	mama hotu na mahā rāja dhātu āharaṇam 	tāva mama hotu dhātuyo pana kathaṃ āharāpemiti na mahā rāja dhātu āharaṇaṃ tuyhaṃ
thūpe kāreti idha rājā kiṃ kārehīti pucchantānampi mahāsāvakānaṃcetiyā nīti vadanti	thūpe kāreti idha rājā kim vadanti 	thūpe kāreti idha rājā kiṃ kārehīti pucchantānampi mahāsāvakānaṃ cetiyā nīti vadanti
kāresi pañcapañcasate suvaṇṇarajatamaye puṇṇaghaṭe ṭhapāpesi pañcasuvaṇṇadhajasate	pañca pañca sate suvaṇṇa rajata maye puṇṇa ghaṭe pañca suvaṇṇa dhaja sate 	kāresi pañca pañca sate suvaṇṇa rajata maye puṇṇa ghaṭe ṭhapāpesi pañca suvaṇṇa dhaja sate
pidahitvā āviñjana rajjuyaṃ kuñcikamuddikaṃ baṇdhi tattheva mahantaṃ maṇikkhaṇdhaṃ	pidahitvā kuñcika muddikam tattha iva mahantam maṇi khaṇdham 	pidahitvā āviñjana rajjuyaṃ kuñcika muddikam baṇdhi tattha eva mahantam maṇi khaṇdham
dve ghaṭe saṭṭhimattānaṃ tipiṭaka bhikkhunaṃ dveghaṭe aggamahesiyā asaṇdhimittāya	dve ghaṭe bhikkhunam dve ghaṭe aggamahesiyā a saṇdhi mittāya 	dve ghaṭe saṭṭhimattānaṃ tipiṭaka bhikkhunaṃ dve ghaṭe aggamahesiyā a saṇdhi mittāya
hatthapuñchanaka paṭṭaṃdibbañcajānakaṃ āharanti devasikameva panassa anulepagaṇdhaṃ	āharanti devasikam eva panassa anulepa gaṇdham 	hatthapuñchanaka paṭṭaṃ dibbañca jānakaṃ āharanti devasikam eva panassa anulepa gaṇdham
pārupanatthāya asuttamayikaṃ sumanapupphapaṭaṃ mahārahañca añjanaṃ nāgabhavanato	pārupana tthāya sumana puppha paṭam añjanam nāga bhavanataḥ 	pārupana tthāya asuttamayikam sumana puppha paṭam mahārahañca añjanam nāga bhavanato
nāgarājāno āharanti. Chaddantadaheyeva uṭṭhitassa sālino nava cāha sahassāni divase	nāga rājānaḥ āharanti uṭṭhitassa sālinaḥ nava ca āha sahassāni divase 	nāga rājānaḥ āharanti chaddanta daheyeva uṭṭhitassa sālinaḥ nava ca āha sahassāni divase
divase suvā āharanti. Mūsikā nitthusa kaṇe karonti ekopi khaṇḍataṇḍulo na hoti. Rañño	divase āharanti mūsikāḥ kaṇe karonti ekaḥ api khaṇḍa taṇḍulaḥ na hoti rañño 	divase suvā āharanti mūsikā nitthusa kaṇe karonti eko api khaṇḍa taṇḍulo na hoti rañño
samujjalitacārumatthakasobhaṃ nayanarasāyanamiva brahmadeva-manuja nāga-yakkha gaṇānaṃ	samujjalita cāru matthaka sobham nayana rasāyanam iva 	samujjalita cāru matthaka sobham nayana rasāyanam iva brahma deva manuja nāga yakkha gaṇānaṃ
catutthe saṃvacchare buddhasāsane pasīdinaṃ brāhmaṇa jātiya pāsaṇḍānañca paṇḍaraṅga	catutthe saṃvacchare buddha sāsane pasīdinam 	catutthe saṃvacchare buddha sāsane pasīdinam brāhmaṇa jātiya pāsaṇḍānañca paṇḍaraṅga
ettha vasāhiti padāsi. Sā taṃ sālaṃ pāvisi. Gatadivaseyeva puttaṃ vijāyi.	ettha sā tam sālam pāvisi gata divaseya iva puttam 	ettha vasāhiti padāsi sā tam sālam pāvisi gata divaseyeva puttam vijāyi
daṭṭhadivasatoppabhūti taṃ attano sāmidhītaraṃ viya maññamāno nibaddhaṃ vaṭṭaṃ paṭṭhapesi.	tam attanaḥ sāmidhītaram viya maññamānaḥ nibaddham vaṭṭam paṭṭhapesi 	daṭṭhadivasatoppabhūti tam attanaḥ sāmidhītaram viya maññamānaḥ nibaddham vaṭṭam paṭṭhapesi
nāma eko arahā dārakassa hetusampadaṃ disvā viharamāno sattavassikodāni dārako kālo	nāma ekaḥ arahā dārakassa hetu sampadam disvā viharamāno kālo 	nāma eko arahā dārakassa hetu sampadam disvā viharamāno sattavassiko dāni dārako kālo
khuraggeyeva arahattaṃ pāpuṇi. So ekadivasaṃ pātova sarīraṃ paṭijaggitvā ācariyupajjhānaṃ	arahattam pāpuṇi saḥ eka divasam sarīram paṭijaggitvā ācariya upajjhānam 	khuraggeyeva arahattam pāpuṇi so eka divasam pātova sarīram paṭijaggitvā ācariya upajjhānam
Ayaṃ jano sabbopi vikkhittacittohantamagapaṭibhāgo, ayampana dārako avikkhittacitto	ayam janaḥ sabbaḥ api ayam pana dārakaḥ a vikkhitta cittaḥ 	ayam janaḥ sabbaḥ api vikkhitta cittaḥ anta maga paṭibhāgaḥ ayam pana dārakaḥ a vikkhitta cittaḥ
dinnovādaṃ jānāthāti jānami mahārāja ekadesenāti. Tāta, mayhampi naṃ kathehīti sādhu	dinnovādam jānātha ati mahā rāja ekadesena ati tāta nam kathehi iti sādhu 	dinnovādam jānātha iti jānāmi mahā rāja ekadesena ati tāta mayhampi nam kathehi iti sādhu
khaṇḍākhaṇḍaṃ hoti evaṃ tatrāpi alabhitvā allakappaṃ-pāvaṃ-kusināranti sabbattha	khaṇḍākhaṇḍam hoti evam tatra api a labhitvā sabbattha 	khaṇḍākhaṇḍam hoti evam tatra api a labhitvā allakappaṃ pāvaṃ kusināranti sabbattha
nāma rājānaṃ daḷiddarājāti cattu yuttanti punappuna ghaṭetvā dvāraṃ vicaritvā antogehaṃ	nāma rājānam ghaṭetvā dvāram vicaritvā antar geham 	nāma rājānam daḷiddarājāti cattu yuttanti punappuna ghaṭetvā dvāram vicaritvā antar geham
upasampādesi upasampadāmālakeyeva sahapaṭisambhidāhi arahattaṃ pāpuṇi.	upasampādesi saha paṭisambhidāhi arahattam pāpuṇi 	upasampādesi upasampadāmālakeyeva saha paṭisambhidāhi arahattam pāpuṇi
ghosāpetvā chaṇaṃ karothāti amacce āṇāpetvā cattālīsa purisa sahassaparivāro nagarambhā	ghosāpetvā chaṇam karotha ati amacce āṇāpetvā 	ghosāpetvā chaṇam karotha iti amacce āṇāpetvā cattālīsa purisa sahassaparivāro nagarambhā
patta kiñjakkhā hutvā khāyanti sakuṇayaṭṭhiyaṃ haṃsakukkuṭa-jīvaṃjīvakādayo sakuṇā	hutvā khāyanti haṃsa kukkuṭa jīvaṃjīvaka ādayaḥ sakuṇāḥ 	patta kiñjakkhā hutvā khāyanti sakuṇayaṭṭhiyaṃ haṃsa kukkuṭa jīvaṃjīvaka ādayo sakuṇā
pasīditvā pañca rājakakudhabhaṇḍāniceva aññe ca abhisekatthāya bahūpaṇṇākāre pahiṇi.	pasīditvā pañca aññe ca abhiseka thāya bahu paṇṇa ākāre pahiṇi 	pasīditvā pañca rājakakudhabhaṇḍāni ceva aññe ca abhiseka thāya bahu paṇṇa ākāre pahiṇi
therānaṃ abhivādanaṃ pūjāsakkārañca kāronatūti pakkosāpetvā ekamantaṃ nisīdi. Thero	abhivādanam pūjā sakkāram ca ekamantam nisīdi theraḥ 	therānam abhivādanam pūjā sakkāram ca kāronatu iti pakkosāpetvā ekamantam nisīdi thero
tvaṃ mahārāja evaṃ kilama māno āgatoti. Tumhe mama gāḷhaṃ ovādaṃ datvā idāni gantukāmā	tvam mahā rājaḥ evam tumhe mama gāḍham ovādam idāni gantu kāmā 	tvam mahā rāja evam kilama māno āgato iti tumhe mama gāḍham ovādam datvā idāni gantu kāmā
mahānāgavanuyyānābhimukho yā hi addhā tasmiṃ ṭhāne dhātuyo lacchasiti, rājā sādhūti	mahā nāgavan uyyāna abhimukhaḥ hi addhā tasmin ṭhāne rājā sādhu iti 	mahā nāgavan uyyāna abhimukhaḥ yā hi addhā tasmin ṭhāne dhātuyo lacchasi iti rājā sādhu iti
tatotumhe dakkhiṇadāṭhaṃpūjetha, dakkhiṇakkhakaṃ pana mayhaṃ dethāti, evañca naṃ	tato tumhe dakkhiṇa kkhakam pana mayham detha ati evam ca naṃ 	tato tumhe dakkhiṇa dāṭhaṃ pūjetha dakkhiṇa kkhakam pana mayham detha ati evam ca naṃ
ubbaṭṭetvā varamuttasadisānaṃ dhātūnaṃ pūretvā adāsi.	ubbaṭṭetvā dhātūnam pūretvā adāsi 	ubbaṭṭetvā varamuttasadisānaṃ dhātūnaṃ pūretvā adāsi
asokadhammarājena dinna dhātuyo cetiyagiriyamhiyeva patiṭṭhāpetvā dakkhiṇakkhakaṃ	asokadhammarājena dinna patiṭṭhāpetvā dakkhiṇakkhakam 	asokadhammarājena dinna dhātuyo cetiyagiriyamhiyeva patiṭṭhāpetvā dakkhiṇakkhakaṃ
na deti. Theraṃ pucchi, kasmā bhante nāgo dhātuṃ oropetuṃ na detīti	na deti theram pucchi kasmai bhante nāgaḥ dhātum na deti iti 	na deti theraṃ pucchi kasmā bhante nāgo dhātuṃ oropetuṃ na deti iti
ca deviyo ca de-nāga-yakkhānaṃ vimbhayakaraṃ paccekaṃ thūpamakaṃsu.	ca deviyo ca denāgayakkhānam paccekam 	ca deviyo ca denāgayakkhānam vimbhayakaram paccekam thūpamakaṃsu
Senāya samussita dhajapatākaṃ nānāratana vicittaṃ anekālaṅkāra patimaṇḍitaṃ nānāvidha	dhaja patākam nānā ratana vicittam aneka alaṅkāra patimaṇḍitam nānāvidha 	Senāya samussita dhaja patākam nānā ratana vicittam aneka alaṅkāra patimaṇḍitam nānāvidha
pakkhaṇdi mahāsamuddepi samantā yojanaṃ vīci vūpasantā pañcavaṇṇāni padumāni pupphitāni	samantā yojanam pañca vaṇṇāni padumāni pupphitāni 	pakkhaṇdi mahāsamuddepi samantā yojanaṃ vīci vūpasantā pañcavaṇṇāni padumāni pupphitāni
ativiya uḷāra pūjā ahosi. Evaṃ mahatiyā pūjāya sā nāvā jambukolapaṭṭanaṃ pāvisi.	evam mahatiyā pūjāya sā nāvā jambu kola paṭṭanam pāvisi 	ativiya uḷāra pūjā ahosi evam mahatiyā pūjāya sā nāvā jambu kola paṭṭanam pāvisi
samuddato paccuttaritvā samuddatīre bodhiṃ ṭhapetvā tīṇi divasāni sakala tambapaṇṇi rajjena pūjesi.	paccuttaritvā samudda tīre bodhim ṭhapetvā tīṇi divasāni rajjena pūjesi 	samuddato paccuttaritvā samudda tīre bodhim ṭhapetvā tīṇi divasāni sakala tambapaṇṇi rajjena pūjesi
pattaṃ pana rāja geheyava ṭhapetvā pūjamakāsīti.	pattam pana rāja ṭhapetvā pūjam akāsi iti 	pattam pana rāja gehe eva ṭhapetvā pūjam akāsi iti
Kārāpesi mahārāja-thūpe yojana yojaneti;	mahārājathūpe yojana yojana iti 	Kārāpesi mahārājathūpe yojana yojana iti
devī attano puttassa rajjaṃ icchanti taracchanāvā vāpiṃ karontassa uparājassavisena	devī attano puttassa rajjam icchanti vāpim karontassa 	devī attano puttassa rajjam icchanti taracchanāvā vāpim karontassa uparājassa visena
So na icchi, yāpi punappuna yāciyeva. Sāmaṇeropi evaṃ sante sāsanānuggahaṃ kātuṃ	saḥ naḥ icchi yā api punappuna sāmaṇeraḥ api evam sante sāsana anuggaham kātum 	so na icchi yā api punappuna yāci eva sāmaṇero api evaṃ sante sāsana anuggahaṃ kātuṃ
Sā dasamāsaccayena puttaṃ vijāyi. Tassa gāmaṇi abhayoti nāmaṃ kariṃsu. Aparabhāge	sā dasa māsa cayena puttam tassa nāmam kariṃsu aparabhāge 	sā dasa māsa accayena puttaṃ vijāyi tassa gāmaṇi abhayo iti nāmaṃ kariṃsu aparabhāge
Tesaṃ uppattikathā mahāvaṃsato gahetabbā rājā dasamahāyodhānaṃ puttassa sakkārasamaṃsakkāraṃ	tesam uppatti kathā mahā vaṃsataḥ gahetabbā rājā dasa mahā yodhānam puttassa 	tesam uppatti kathā mahā vaṃsataḥ gahetabbā rājā dasa mahā yodhānam puttassa sakkāra samam sakkāram
