original	analyzed	corrected
5.1.8. Kusalattika, Dassanahetukattika	kusala ttika dassana hetuka ttika 	kusala ttika dassana hetuka ttika
Abyākataṁ nevācayagāmināpacayagāmiṁ dhammaṁ paṭicca abyākato nevācayagāmināpacayagāmī dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.)	abyākatam na iva ācaya gāmi na apacaya gāmim dhammam paṭicca abyākataḥ na iva ācaya gāmi na apacaya gāmī dhammo uppajjati hetu paccayā 	abyākatam neva ācaya gāmi na apacaya gāmim dhammam paṭicca abyākato neva ācaya gāmi na apacaya gāmī dhammo uppajjati hetu paccayā saṅkhittam
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
5.1.12. Kusalattika, Parittārammaṇattika	kusala attika paritta ārammaṇa attika 	kusala ttika paritta ārammaṇa ttika
Hetuyā tīṇi …pe… vipāke ekaṁ …pe… avigate tīṇi. (Saṅkhittaṁ.)	hetuyā tīṇi pe vipāke ekam pe avigate tīṇi 	hetuyā tīṇi pe vipāke ekaṁ pe avigate tīṇi saṅkhittaṁ
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
Hetuyā tīṇi …pe… vipāke ekaṁ …pe… avigate tīṇi. (Saṅkhittaṁ.)	hetuyā tīṇi pe vipāke ekam pe avigate tīṇi 	hetuyā tīṇi pe vipāke ekaṁ pe avigate tīṇi saṅkhittaṁ
Hetuyā dve …pe… vipāke ekaṁ …pe… avigate dve. (Saṅkhittaṁ.)	hetuyā dve pe vipāke ekam pe avigate dve 	hetuyā dve pe vipāke ekaṁ pe avigate dve saṅkhittaṁ
(Yathā kusalattike pañhāvāraṁ, evaṁ vitthāretabbaṁ.)	yathā kusala attike pañhāvāraḥ evam 	yathā kusala attike pañhāvāraṁ evaṁ vitthāretabbaṁ
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
5.1.15. Kusalattika, Maggārammaṇattika	kusala attika magga ārammaṇa ttika 	kusala ttika magga ārammaṇa ttika
Hetuyā ekaṁ …pe… avigate ekaṁ. (Sabbattha ekaṁ. Saṅkhittaṁ.)	hetuyā ekam pe avigate eka sabbattha eka 	hetuyā ekaṁ pe avigate ekaṁ sabbattha ekaṁ saṅkhittaṁ
5.1.18. Kusalattika, Atītārammaṇattika	kusala attika atīta ārammaṇa ttika 	kusala ttika atīta ārammaṇa ttika
Hetuyā tīṇi …pe… vipāke ekaṁ …pe… avigate tīṇi. (Saṅkhittaṁ.)	hetuyā tīṇi pe vipāke ekam pe avigate tīṇi 	hetuyā tīṇi pe vipāke ekaṁ pe avigate tīṇi saṅkhittaṁ
āhāre …pe… sampayutte tīṇi …pe… avigate tīṇi. (Saṅkhittaṁ.)	āhāre pe sampayutte tīṇi pe avigate tīṇi 	āhāre …pe… sampayutte tīṇi …pe… avigate tīṇi Saṅkhittaṁ
(Yathā kusalattike pañhāvāraṁ evaṁ vitthāretabbaṁ.)	yathā kusala ttike pañhāvāram evam 	yathā kusala ttike pañhāvāram evam vitthāretabbam
(Yathā kusalattike pañhāvāraṁ, evaṁ vitthāretabbaṁ.)	yathā kusala attike pañhāvāraḥ evam 	yathā kusala attike pañhāvāraṁ evaṁ vitthāretabbaṁ
(Yathā kusalattike pañhāvāraṁ, evaṁ vitthāretabbaṁ.)	yathā kusala attike pañhāvāraḥ evam 	yathā kusala attike pañhāvāraṁ evaṁ vitthāretabbaṁ
Hetuyā nava …pe… vipāke ekaṁ …pe… avigate nava. (Saṅkhittaṁ.)	hetuyā nava pe vipāke ekam pe avigate nava 	hetuyā nava pe vipāke ekaṁ pe avigate nava saṅkhittaṁ
(Sahajātavārampi …pe… sampayuttavārampi paṭiccavārasadisaṁ, evaṁ vitthāretabbaṁ.)	sahajāta vāram pi pe sampayutta vāram pi paṭicca vāra sadisaḥ evam 	sahajāta vāram pi pe sampayutta vāram pi paṭicca vāra sadisaṁ evaṁ vitthāretabbaṁ
(Yathā kusalattike pañhāvāraṁ, evaṁ vitthāretabbaṁ.)	yathā kusala attike pañhāvāraḥ evam 	yathā kusala attike pañhāvāraṁ evaṁ vitthāretabbaṁ
Hetuyā nava …pe… vipāke ekaṁ …pe… avigate nava. (Saṅkhittaṁ.)	hetuyā nava pe vipāke ekam pe avigate nava 	hetuyā nava pe vipāke ekaṁ pe avigate nava saṅkhittaṁ
Hetuyā tīṇi …pe… vipāke ekaṁ …pe… avigate tīṇi. (Saṅkhittaṁ.)	hetuyā tīṇi pe vipāke ekam pe avigate tīṇi 	hetuyā tīṇi pe vipāke ekaṁ pe avigate tīṇi saṅkhittaṁ
Hetuyā tīṇi …pe… vipāke ekaṁ …pe… avigate tīṇi. (Saṅkhittaṁ.)	hetuyā tīṇi pe vipāke ekam pe avigate tīṇi 	hetuyā tīṇi pe vipāke ekaṁ pe avigate tīṇi saṅkhittaṁ
5.1.21. Kusalattika, Sanidassanattika	kusala attika sa nidassana ttika 	kusala ttika sa nidassana ttika
(Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	sahajāta vāram pi pe pañhā vāram pi 	sahajāta vāram pi pe pañhā vāram pi vitthāretabbaṁ
